policy_step,dataset_index,dataset_frame,inference_s,loop_s,sent_to_robot,arm_state,left_hand_state,right_hand_state,predicted_action,limited_arm,limited_left_hand,limited_right_hand,dataset_state,dataset_action
0,0,0,1.1335713469998154,1.2201251330006926,True,"[0.20707543194293976, 0.14299577474594116, -0.009958891198039055, 1.0153634548187256, -0.4737124443054199, 0.09809088706970215, 0.08834771066904068, 0.25999775528907776, -0.1318025141954422, 0.03501790761947632, 1.0265687704086304, 0.06956842541694641, 0.051472246646881104, -0.06918492913246155]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 503.0]","[-0.024979840964078903, 0.19713492691516876, 0.07951183617115021, 0.9537185430526733, -1.0366055965423584, -0.2537989616394043, -0.03652931749820709, -0.042129337787628174, -0.4905065596103668, 0.017535895109176636, 0.10006603598594666, 0.2742660641670227, -0.3074740469455719, -0.30118924379348755, 0.30000030994415283, 0.3000003397464752, 0.2999999225139618, 0.19999970495700836, 0.10000038146972656, 0.0, 0.8671656250953674, 0.866562008857727, 0.8664940595626831, 0.8610337376594543, 0.7609043717384338, 0.0]","[0.19707542657852173, 0.1529957801103592, 4.110857844352722e-05, 1.0053634643554688, -0.48371243476867676, 0.08809088915586472, 0.07834771275520325, 0.24999774992465973, -0.14180251955986023, 0.025017907842993736, 1.0165687799453735, 0.07956842333078384, 0.04147224873304367, -0.07918492704629898]","[286.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8671655654907227, 0.866562008857727, 0.8664940595626831, 0.8610339164733887, 0.7609043717384338, 453.0]","[0.36773595213890076, 0.2125042825937271, -0.19506722688674927, 0.13865748047828674, -1.1988658905029297, -0.09092431515455246, 0.2910129427909851, 0.34811776876449585, -0.39933836460113525, 0.2565223276615143, 0.258667528629303, 0.43556666374206543, -0.10707905143499374, 0.08358997106552124, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24442234635353088, 0.28508755564689636, -0.13917025923728943, -0.055223532021045685, -1.1037503480911255, -0.2001938819885254, 0.139725923538208, 0.2734237611293793, -0.4169085919857025, 0.2973143756389618, 0.24402667582035065, 0.47058749198913574, -0.16312283277511597, 0.12246698141098022, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
1,1,1,0.007414701000016066,0.05294728899934853,True,"[0.20672789216041565, 0.14479340612888336, -0.00782569870352745, 1.0145485401153564, -0.47775113582611084, 0.0969044417142868, 0.08458466082811356, 0.25715750455856323, -0.13191036880016327, 0.032477252185344696, 1.0258616209030151, 0.07082676887512207, 0.049327071756124496, -0.07049120962619781]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 503.0]","[-0.021662214770913124, 0.1882411539554596, 0.08835965394973755, 0.984673261642456, -1.040123701095581, -0.2619556486606598, -0.02206331491470337, -0.030863076448440552, -0.4870855510234833, 0.0048097968101501465, 0.11531630158424377, 0.2838030457496643, -0.3030319809913635, -0.3058171272277832, 0.30000030994415283, 0.3000003397464752, 0.2999999225139618, 0.19999971985816956, 0.10000035911798477, 0.0, 0.8737903237342834, 0.8732507824897766, 0.8731995820999146, 0.868831217288971, 0.7687095999717712, 0.0]","[0.19672788679599762, 0.1547934114933014, 0.0021743010729551315, 1.0045485496520996, -0.4877511262893677, 0.08690444380044937, 0.07458466291427612, 0.2471574991941452, -0.1419103741645813, 0.022477252408862114, 1.0158616304397583, 0.0808267667889595, 0.039327070116996765, -0.08049120754003525]","[286.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8737902641296387, 0.8732507824897766, 0.8731995820999146, 0.8688311576843262, 0.7687095999717712, 453.0]","[0.36773595213890076, 0.21249230206012726, -0.195235013961792, 0.1386454999446869, -1.1988658905029297, -0.09092431515455246, 0.2908931076526642, 0.3480578660964966, -0.39961397647857666, 0.2585356831550598, 0.25927871465682983, 0.43553072214126587, -0.10392720252275467, 0.08474045991897583, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24684642255306244, 0.28463566303253174, -0.1363241970539093, -0.06041140854358673, -1.1018574237823486, -0.1937672197818756, 0.13669143617153168, 0.27452579140663147, -0.41791626811027527, 0.29724210500717163, 0.24438706040382385, 0.4686964154243469, -0.16210435330867767, 0.12461793422698975, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
2,2,2,0.010522595999646,0.10523769999963406,True,"[0.20562534034252167, 0.14801716804504395, -0.005452822428196669, 1.0138415098190308, -0.47969257831573486, 0.09430386871099472, 0.08347012847661972, 0.25595909357070923, -0.1329290270805359, 0.03063168004155159, 1.0258017778396606, 0.07128217071294785, 0.047517452389001846, -0.0725165456533432]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 503.0]","[-0.00851636752486229, 0.18678975105285645, 0.08965709805488586, 0.9657540321350098, -1.0390000343322754, -0.2698080241680145, -0.024428516626358032, -0.027317911386489868, -0.5009429454803467, -0.003334730863571167, 0.046092838048934937, 0.26617002487182617, -0.32043129205703735, -0.3255680501461029, 0.3000003397464752, 0.30000028014183044, 0.2999999523162842, 0.19999977946281433, 0.10000031441450119, 0.0, 0.8679844737052917, 0.8676031231880188, 0.8675576448440552, 0.8622193932533264, 0.7621395587921143, 0.0]","[0.19562533497810364, 0.15801717340946198, 0.0045471773482859135, 1.003841519355774, -0.4896925687789917, 0.08430387079715729, 0.07347013056278229, 0.2459590882062912, -0.14292903244495392, 0.020631680265069008, 1.0158017873764038, 0.08128216862678528, 0.037517450749874115, -0.08251654356718063]","[286.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8679845333099365, 0.8676031231880188, 0.8675576448440552, 0.8622193336486816, 0.7621395587921143, 453.0]","[0.36775991320610046, 0.21252824366092682, -0.19531890749931335, 0.1387174129486084, -1.1988658905029297, -0.0908883661031723, 0.2907852530479431, 0.3480818271636963, -0.39984169602394104, 0.25965023040771484, 0.2595663368701935, 0.4355546832084656, -0.10284861922264099, 0.08504006266593933, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24689100682735443, 0.2846303880214691, -0.1363029032945633, -0.0604422353208065, -1.1018520593643188, -0.19374361634254456, 0.13668397068977356, 0.2745389938354492, -0.4179222583770752, 0.29726067185401917, 0.2443813979625702, 0.4686882495880127, -0.1621003895998001, 0.12461652606725693, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
3,3,3,0.0063320339995698305,0.08966038300059154,True,"[0.2024734914302826, 0.15115703642368317, 0.002265018643811345, 1.0129786729812622, -0.48231711983680725, 0.0924103632569313, 0.08213987946510315, 0.2546408176422119, -0.1336001455783844, 0.029349368065595627, 1.025562047958374, 0.07190535217523575, 0.04514457657933235, -0.0739906057715416]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 503.0]","[-0.014590002596378326, 0.1810459941625595, 0.09091584384441376, 0.9865034818649292, -1.0442134141921997, -0.27205216884613037, -0.013882279396057129, -0.033907175064086914, -0.4926862418651581, -0.004918962717056274, 0.08879563212394714, 0.2806982398033142, -0.3117709755897522, -0.31719279289245605, 0.30000030994415283, 0.30000028014183044, 0.29999998211860657, 0.19999976456165314, 0.10000032931566238, 0.0, 0.8735730648040771, 0.8731511235237122, 0.873116135597229, 0.868708074092865, 0.7686035633087158, 0.0]","[0.19247348606586456, 0.1611570417881012, 0.012265018187463284, 1.0029786825180054, -0.4923171103000641, 0.08241036534309387, 0.07213988155126572, 0.24464081227779388, -0.14360015094280243, 0.019349368289113045, 1.0155620574951172, 0.08190535008907318, 0.03514457494020462, -0.08399060368537903]","[286.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8735730648040771, 0.8731511235237122, 0.873116135597229, 0.8687081336975098, 0.7686035633087158, 453.0]","[0.3681793808937073, 0.2125042825937271, -0.19537882506847382, 0.13887320458889008, -1.1988539695739746, -0.09076852351427078, 0.2907373011112213, 0.348105788230896, -0.3998536765575409, 0.2610164284706116, 0.25985395908355713, 0.435518741607666, -0.0986781120300293, 0.08531569689512253, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24807719886302948, 0.28516489267349243, -0.14065061509609222, -0.06366798281669617, -1.1009148359298706, -0.201852485537529, 0.13203182816505432, 0.276168555021286, -0.41826769709587097, 0.29840776324272156, 0.2408219873905182, 0.466248095035553, -0.16178582608699799, 0.12428159266710281, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
4,4,4,0.009768289999556146,0.09058408700002474,True,"[0.20090354979038239, 0.15182815492153168, 0.007166566792875528, 1.0126910209655762, -0.4862479567527771, 0.09183511883020401, 0.07848469167947769, 0.2539457380771637, -0.13361212611198425, 0.028414597734808922, 1.0253583192825317, 0.07424227893352509, 0.04375440627336502, -0.07456585019826889]","[336.0, 2.0, 1.0, 5.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 503.0]","[-0.005375389009714127, 0.18405750393867493, 0.08988992869853973, 0.9549238681793213, -1.0408974885940552, -0.27481675148010254, -0.021745383739471436, -0.02044576406478882, -0.4997437596321106, -0.010701566934585571, 0.033179283142089844, 0.2832598090171814, -0.3157849907875061, -0.3163529634475708, 0.30000030994415283, 0.30000025033950806, 0.29999998211860657, 0.19999979436397552, 0.1000003069639206, 0.0, 0.8716791272163391, 0.871332049369812, 0.8713029026985168, 0.8665802478790283, 0.7664879560470581, 0.0]","[0.19090354442596436, 0.1618281602859497, 0.017166566103696823, 1.0026910305023193, -0.49624794721603394, 0.08183512091636658, 0.06848469376564026, 0.24394573271274567, -0.14361213147640228, 0.01841459795832634, 1.015358328819275, 0.08424227684736252, 0.03375440835952759, -0.08456584811210632]","[286.0, 0.3000001907348633, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8716790676116943, 0.871332049369812, 0.8713029026985168, 0.8665800094604492, 0.7664879560470581, 453.0]","[0.36868271231651306, 0.21251626312732697, -0.19572636485099792, 0.13893312215805054, -1.1988539695739746, -0.09076852351427078, 0.29062944650650024, 0.3481297492980957, -0.3999974727630615, 0.26222681999206543, 0.2602614164352417, 0.4354947507381439, -0.09526260942220688, 0.08536363393068314, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25130826234817505, 0.28666701912879944, -0.14098431169986725, -0.06589779257774353, -1.1020902395248413, -0.2014167308807373, 0.13018003106117249, 0.27710941433906555, -0.42045536637306213, 0.29764172434806824, 0.24073772132396698, 0.4670392572879791, -0.16246454417705536, 0.12703220546245575, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
5,5,5,0.010323766999135842,0.07709307899858686,True,"[0.1994055211544037, 0.15275093913078308, 0.011552792973816395, 1.0126550197601318, -0.4929351508617401, 0.09163138270378113, 0.0698200985789299, 0.2532266676425934, -0.13367204368114471, 0.027719512581825256, 1.0251306295394897, 0.08049803972244263, 0.04292749613523483, -0.07516506314277649]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 503.0]","[-0.004684470593929291, 0.17716345191001892, 0.10066904127597809, 0.9890758991241455, -1.0391042232513428, -0.2784169316291809, -0.010661065578460693, -0.014130771160125732, -0.4993492364883423, -0.02179330587387085, 0.03843092918395996, 0.28095898032188416, -0.31488752365112305, -0.3084716796875, 0.30000030994415283, 0.30000025033950806, 0.29999998211860657, 0.1999998241662979, 0.1000002771615982, 0.0, 0.8755632638931274, 0.8752896785736084, 0.8752796053886414, 0.871191143989563, 0.771104633808136, 0.0]","[0.18940551578998566, 0.1627509444952011, 0.02155279368162155, 1.002655029296875, -0.5029351711273193, 0.0816313847899437, 0.05982010066509247, 0.24322666227817535, -0.14367204904556274, 0.017719512805342674, 1.015130639076233, 0.09049803763628006, 0.0329274982213974, -0.08516506105661392]","[286.0, 0.3000001907348633, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8755632638931274, 0.8752896785736084, 0.8752796053886414, 0.8711910247802734, 0.771104633808136, 453.0]","[0.3686227798461914, 0.21254023909568787, -0.19567842781543732, 0.13887320458889008, -1.19884192943573, -0.09079249203205109, 0.2885202169418335, 0.3476743698120117, -0.4002012312412262, 0.26253843307495117, 0.26020148396492004, 0.4355067312717438, -0.09521467238664627, 0.0860946774482727, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.2549981474876404, 0.2870613932609558, -0.14092257618904114, -0.06805554032325745, -1.1065564155578613, -0.2047654092311859, 0.12537433207035065, 0.2792743444442749, -0.4217317998409271, 0.2964577376842499, 0.2388928234577179, 0.4631003141403198, -0.16382800042629242, 0.13129085302352905, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
6,6,6,0.006815548000304261,0.0702376169992931,True,"[0.19848273694515228, 0.15278688073158264, 0.015112107619643211, 1.012499213218689, -0.4977288544178009, 0.09155947715044022, 0.06566157191991806, 0.25280722975730896, -0.13366006314754486, 0.027371970936655998, 1.0249748229980469, 0.08420116454362869, 0.04256796836853027, -0.07530887424945831]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 503.0]","[0.0005109161138534546, 0.17827555537223816, 0.09347705543041229, 0.97639000415802, -1.038611650466919, -0.27537640929222107, -0.0152779221534729, -0.01327165961265564, -0.5000853538513184, -0.01449352502822876, 0.04118958115577698, 0.2874395251274109, -0.30543890595436096, -0.30292826890945435, 0.30000030994415283, 0.30000028014183044, 0.29999998211860657, 0.19999979436397552, 0.10000031441450119, 0.0, 0.873268187046051, 0.8729099631309509, 0.8728851675987244, 0.8684313893318176, 0.7683255672454834, 0.0]","[0.18848273158073425, 0.16278688609600067, 0.025112107396125793, 1.0024992227554321, -0.5077288746833801, 0.08155947923660278, 0.05566157400608063, 0.24280722439289093, -0.1436600685119629, 0.017371971160173416, 1.01497483253479, 0.09420116245746613, 0.03256797045469284, -0.08530887216329575]","[286.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8732681274414062, 0.8729099631309509, 0.8728851675987244, 0.868431568145752, 0.7683255672454834, 453.0]","[0.3686707317829132, 0.21254023909568787, -0.19606192409992218, 0.13888518512248993, -1.1988539695739746, -0.09080447256565094, 0.28740569949150085, 0.34744665026664734, -0.4011719524860382, 0.26253843307495117, 0.2602134943008423, 0.4354468286037445, -0.09520268440246582, 0.0869215875864029, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25489333271980286, 0.2874063551425934, -0.1409178376197815, -0.06747577339410782, -1.1075489521026611, -0.20959724485874176, 0.12356153130531311, 0.2808116674423218, -0.4227813482284546, 0.29641422629356384, 0.23240554332733154, 0.4568215310573578, -0.16366742551326752, 0.1350734531879425, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
7,7,7,0.010262523999699624,0.08355203499922936,True,"[0.19791947305202484, 0.1527988761663437, 0.020493024960160255, 1.0122356414794922, -0.5010005235671997, 0.0914875790476799, 0.0631568655371666, 0.2527233362197876, -0.13366006314754486, 0.02713228575885296, 1.0248908996582031, 0.08663396537303925, 0.04248407855629921, -0.07589609920978546]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 503.0]","[-0.0025091134011745453, 0.1768476516008377, 0.09697897732257843, 0.9904847145080566, -1.0380369424819946, -0.2757599949836731, -0.009326130151748657, -0.007673740386962891, -0.4978293180465698, -0.020614564418792725, 0.05188339948654175, 0.3006436228752136, -0.2973175346851349, -0.29482385516166687, 0.30000030994415283, 0.30000028014183044, 0.29999998211860657, 0.19999977946281433, 0.10000032931566238, 0.0, 0.8743765354156494, 0.8739622831344604, 0.8739404082298279, 0.869674801826477, 0.7695435285568237, 0.0]","[0.1879194676876068, 0.16279888153076172, 0.030493024736642838, 1.0022356510162354, -0.5110005140304565, 0.08148758113384247, 0.05315686762332916, 0.24272333085536957, -0.1436600685119629, 0.017132285982370377, 1.0148909091949463, 0.09663396328687668, 0.03248407691717148, -0.0858960971236229]","[286.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8743765354156494, 0.8739622831344604, 0.8739404082298279, 0.8696746826171875, 0.7695435285568237, 453.0]","[0.3686946928501129, 0.21254023909568787, -0.19609788060188293, 0.13893312215805054, -1.1988779306411743, -0.09080447256565094, 0.2874176800251007, 0.34809380769729614, -0.4016273319721222, 0.262550413608551, 0.2602134943008423, 0.4351711869239807, -0.09515474736690521, 0.08778444677591324, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25315022468566895, 0.2873590886592865, -0.14541850984096527, -0.06472344696521759, -1.104962706565857, -0.21491335332393646, 0.12630820274353027, 0.27968114614486694, -0.4240519106388092, 0.2986530065536499, 0.23073317110538483, 0.45636704564094543, -0.16286036372184753, 0.1347084641456604, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
8,8,8,0.010156357000596472,0.09252886300055252,True,"[0.19747605919837952, 0.15295466780662537, 0.02660498023033142, 1.012115716934204, -0.5052189826965332, 0.09145162254571915, 0.06164685636758804, 0.252543568611145, -0.133648082613945, 0.026976490393280983, 1.0248429775238037, 0.08831175416707993, 0.042460110038518906, -0.07637546956539154]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 503.0]","[0.0011999234557151794, 0.17558562755584717, 0.09210826456546783, 0.9739820957183838, -1.0413494110107422, -0.27785566449165344, -0.012511640787124634, -0.0099678635597229, -0.5034770965576172, -0.020914465188980103, 0.029578685760498047, 0.294353187084198, -0.3047425150871277, -0.301523894071579, 0.30000030994415283, 0.30000025033950806, 0.30000001192092896, 0.19999979436397552, 0.10000032186508179, 0.0, 0.8723155856132507, 0.8719449639320374, 0.8719271421432495, 0.8673171997070312, 0.7671952247619629, 0.0]","[0.1874760538339615, 0.1629546731710434, 0.036604978144168854, 1.0021157264709473, -0.51521897315979, 0.08145162463188171, 0.05164685845375061, 0.242543563246727, -0.14364808797836304, 0.0169764906167984, 1.0148429870605469, 0.09831175208091736, 0.032460108399391174, -0.08637546747922897]","[286.0, 0.3000001907348633, 0.30000001192092896, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8723156452178955, 0.8719449639320374, 0.8719271421432495, 0.8673171997070312, 0.7671952247619629, 453.0]","[0.3686946928501129, 0.21256420016288757, -0.19633756577968597, 0.13895709812641144, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3479020595550537, -0.40392830967903137, 0.263005793094635, 0.26020148396492004, 0.4349434971809387, -0.09499895572662354, 0.09199091047048569, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25268545746803284, 0.28890952467918396, -0.14564628899097443, -0.06276678293943405, -1.1094121932983398, -0.21706220507621765, 0.12585130333900452, 0.2802010178565979, -0.427080899477005, 0.29866084456443787, 0.22760653495788574, 0.45402583479881287, -0.16312015056610107, 0.13579297065734863, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
9,9,9,0.010486319999472471,0.07731407400024182,True,"[0.19716447591781616, 0.153242290019989, 0.030463900417089462, 1.0119359493255615, -0.5105639696121216, 0.09142765402793884, 0.06071208417415619, 0.2523997724056244, -0.13367204368114471, 0.026796728372573853, 1.0247831344604492, 0.08977383375167847, 0.0424361415207386, -0.07698666304349899]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 503.0]","[0.00038804858922958374, 0.17677389085292816, 0.0920218825340271, 0.9534207582473755, -1.0438168048858643, -0.28187137842178345, -0.00873345136642456, -0.0006204843521118164, -0.4967500865459442, -0.011651337146759033, 0.05075278878211975, 0.2876508831977844, -0.29984593391418457, -0.2958883047103882, 0.30000030994415283, 0.30000025033950806, 0.30000001192092896, 0.1999998241662979, 0.10000026971101761, 0.0, 0.8777554035186768, 0.8774656653404236, 0.877453625202179, 0.8737431764602661, 0.7736454010009766, 0.0]","[0.18716447055339813, 0.16324229538440704, 0.040463902056217194, 1.0019359588623047, -0.5205639600753784, 0.08142765611410141, 0.050712086260318756, 0.24239976704120636, -0.14367204904556274, 0.01679672859609127, 1.0147831439971924, 0.0997738316655159, 0.03243613988161087, -0.08698666095733643]","[286.0, 0.3000001907348633, 0.30000001192092896, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8777554035186768, 0.8774656653404236, 0.877453625202179, 0.8737430572509766, 0.7736454010009766, 453.0]","[0.3686946928501129, 0.21257618069648743, -0.19662518799304962, 0.1389690786600113, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3477103114128113, -0.4057978391647339, 0.2632574737071991, 0.2601895034313202, 0.4349434971809387, -0.09499895572662354, 0.09417204558849335, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.252299964427948, 0.28918129205703735, -0.14630362391471863, -0.06224444508552551, -1.1108037233352661, -0.21874727308750153, 0.12717337906360626, 0.2800115942955017, -0.42830541729927063, 0.29901713132858276, 0.22527562081813812, 0.45009419322013855, -0.16269159317016602, 0.13778527081012726, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
