policy_step,dataset_index,dataset_frame,inference_s,action_source,loop_s,sent_to_robot,arm_state,left_hand_state,right_hand_state,predicted_action,limited_arm,limited_left_hand,limited_right_hand,dataset_state,dataset_action
0,0,0,0.0,dataset,0.07861575500101026,True,"[0.13230584561824799, 0.320122629404068, -0.5588963031768799, 1.0168015956878662, -1.2416136264801025, -0.08511196821928024, 0.1558428704738617, -0.11486879736185074, -0.14439792931079865, 0.86858069896698, 1.050369381904602, -0.1919872909784317, 0.11169297993183136, -0.21339111030101776]","[299.0, 299.0, 299.0, 197.0, 116.0, 268.0]","[712.0, 776.0, 843.0, 849.0, 798.0, 0.0]","[0.24442234635353088, 0.28508755564689636, -0.13917025923728943, -0.055223532021045685, -1.1037503480911255, -0.2001938819885254, 0.139725923538208, 0.2734237611293793, -0.4169085919857025, 0.2973143756389618, 0.24402667582035065, 0.47058749198913574, -0.16312283277511597, 0.12246698141098022, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.14230585098266602, 0.31012263894081116, -0.548896312713623, 1.0068016052246094, -1.2316136360168457, -0.09511196613311768, 0.14584286510944366, -0.1048687994480133, -0.15439793467521667, 0.8585807085037231, 1.0403693914413452, -0.18198728561401367, 0.10169298201799393, -0.20339110493659973]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[762.0, 826.0, 893.0, 899.0, 800.0, 0.0]","[0.36773595213890076, 0.2125042825937271, -0.19506722688674927, 0.13865748047828674, -1.1988658905029297, -0.09092431515455246, 0.2910129427909851, 0.34811776876449585, -0.39933836460113525, 0.2565223276615143, 0.258667528629303, 0.43556666374206543, -0.10707905143499374, 0.08358997106552124, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24442234635353088, 0.28508755564689636, -0.13917025923728943, -0.055223532021045685, -1.1037503480911255, -0.2001938819885254, 0.139725923538208, 0.2734237611293793, -0.4169085919857025, 0.2973143756389618, 0.24402667582035065, 0.47058749198913574, -0.16312283277511597, 0.12246698141098022, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
1,1,1,0.0,dataset,0.06315995099976135,True,"[0.13230584561824799, 0.320122629404068, -0.55888432264328, 1.0168015956878662, -1.2416375875473022, -0.08511196821928024, 0.1558668315410614, -0.11484482884407043, -0.14439792931079865, 0.8685926795005798, 1.050369381904602, -0.19197531044483185, 0.11169297993183136, -0.2133791297674179]","[299.0, 299.0, 299.0, 197.0, 116.0, 268.0]","[712.0, 776.0, 843.0, 849.0, 798.0, 0.0]","[0.24684642255306244, 0.28463566303253174, -0.1363241970539093, -0.06041140854358673, -1.1018574237823486, -0.1937672197818756, 0.13669143617153168, 0.27452579140663147, -0.41791626811027527, 0.29724210500717163, 0.24438706040382385, 0.4686964154243469, -0.16210435330867767, 0.12461793422698975, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.14230585098266602, 0.31012263894081116, -0.5488843321800232, 1.0068016052246094, -1.2316375970840454, -0.09511196613311768, 0.14586682617664337, -0.104844830930233, -0.15439793467521667, 0.858592689037323, 1.0403693914413452, -0.18197530508041382, 0.10169298201799393, -0.20337912440299988]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[762.0, 826.0, 893.0, 899.0, 800.0, 0.0]","[0.36773595213890076, 0.21249230206012726, -0.195235013961792, 0.1386454999446869, -1.1988658905029297, -0.09092431515455246, 0.2908931076526642, 0.3480578660964966, -0.39961397647857666, 0.2585356831550598, 0.25927871465682983, 0.43553072214126587, -0.10392720252275467, 0.08474045991897583, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24684642255306244, 0.28463566303253174, -0.1363241970539093, -0.06041140854358673, -1.1018574237823486, -0.1937672197818756, 0.13669143617153168, 0.27452579140663147, -0.41791626811027527, 0.29724210500717163, 0.24438706040382385, 0.4686964154243469, -0.16210435330867767, 0.12461793422698975, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
2,2,2,0.0,dataset,0.07934922999993432,True,"[0.1372193843126297, 0.3195473849773407, -0.5523649454116821, 1.0145964622497559, -1.2396363019943237, -0.08734103292226791, 0.15301458537578583, -0.11154916882514954, -0.14450578391551971, 0.863655149936676, 1.04939866065979, -0.18683406710624695, 0.10583269596099854, -0.20783042907714844]","[299.0, 299.0, 299.0, 197.0, 116.0, 268.0]","[712.0, 776.0, 843.0, 849.0, 798.0, 0.0]","[0.24689100682735443, 0.2846303880214691, -0.1363029032945633, -0.0604422353208065, -1.1018520593643188, -0.19374361634254456, 0.13668397068977356, 0.2745389938354492, -0.4179222583770752, 0.29726067185401917, 0.2443813979625702, 0.4686882495880127, -0.1621003895998001, 0.12461652606725693, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.14721938967704773, 0.30954739451408386, -0.5423649549484253, 1.004596471786499, -1.229636311531067, -0.09734103083610535, 0.1430145800113678, -0.1015491709113121, -0.15450578927993774, 0.8536551594734192, 1.0393986701965332, -0.17683406174182892, 0.0958326980471611, -0.1978304237127304]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[762.0, 826.0, 893.0, 899.0, 800.0, 0.0]","[0.36775991320610046, 0.21252824366092682, -0.19531890749931335, 0.1387174129486084, -1.1988658905029297, -0.0908883661031723, 0.2907852530479431, 0.3480818271636963, -0.39984169602394104, 0.25965023040771484, 0.2595663368701935, 0.4355546832084656, -0.10284861922264099, 0.08504006266593933, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24689100682735443, 0.2846303880214691, -0.1363029032945633, -0.0604422353208065, -1.1018520593643188, -0.19374361634254456, 0.13668397068977356, 0.2745389938354492, -0.4179222583770752, 0.29726067185401917, 0.2443813979625702, 0.4686882495880127, -0.1621003895998001, 0.12461652606725693, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
3,3,3,0.0,dataset,0.07424229699972784,True,"[0.13987988233566284, 0.31861260533332825, -0.5495486259460449, 1.0145485401153564, -1.2394804954528809, -0.08731706440448761, 0.15243934094905853, -0.10632404685020447, -0.1443859487771988, 0.8629001975059509, 1.0493746995925903, -0.1865464448928833, 0.10463427007198334, -0.20360000431537628]","[299.0, 299.0, 299.0, 197.0, 116.0, 268.0]","[721.0, 782.0, 851.0, 857.0, 800.0, 0.0]","[0.24807719886302948, 0.28516489267349243, -0.14065061509609222, -0.06366798281669617, -1.1009148359298706, -0.201852485537529, 0.13203182816505432, 0.276168555021286, -0.41826769709587097, 0.29840776324272156, 0.2408219873905182, 0.466248095035553, -0.16178582608699799, 0.12428159266710281, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.14987988770008087, 0.3086126148700714, -0.5395486354827881, 1.0045485496520996, -1.229480504989624, -0.09731706231832504, 0.1424393355846405, -0.09632404893636703, -0.15438595414161682, 0.8529002070426941, 1.0393747091293335, -0.17654643952846527, 0.0946342721581459, -0.19359999895095825]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[771.0, 832.0, 900.0, 900.0, 800.0, 0.0]","[0.3681793808937073, 0.2125042825937271, -0.19537882506847382, 0.13887320458889008, -1.1988539695739746, -0.09076852351427078, 0.2907373011112213, 0.348105788230896, -0.3998536765575409, 0.2610164284706116, 0.25985395908355713, 0.435518741607666, -0.0986781120300293, 0.08531569689512253, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24807719886302948, 0.28516489267349243, -0.14065061509609222, -0.06366798281669617, -1.1009148359298706, -0.201852485537529, 0.13203182816505432, 0.276168555021286, -0.41826769709587097, 0.29840776324272156, 0.2408219873905182, 0.466248095035553, -0.16178582608699799, 0.12428159266710281, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
4,4,4,0.0,dataset,0.08375385100043786,True,"[0.14367887377738953, 0.31833696365356445, -0.5455338954925537, 1.0133740901947021, -1.2384378910064697, -0.08753278106451035, 0.15149259567260742, -0.10058360546827316, -0.14449380338191986, 0.8599520325660706, 1.0492069721221924, -0.18254372477531433, 0.10036788880825043, -0.19906996190547943]","[299.0, 299.0, 299.0, 197.0, 116.0, 268.0]","[756.0, 821.0, 886.0, 895.0, 804.0, 0.0]","[0.25130826234817505, 0.28666701912879944, -0.14098431169986725, -0.06589779257774353, -1.1020902395248413, -0.2014167308807373, 0.13018003106117249, 0.27710941433906555, -0.42045536637306213, 0.29764172434806824, 0.24073772132396698, 0.4670392572879791, -0.16246454417705536, 0.12703220546245575, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.15367887914180756, 0.3083369731903076, -0.5355339050292969, 1.0033740997314453, -1.228437900543213, -0.09753277897834778, 0.1414925903081894, -0.09058360755443573, -0.1544938087463379, 0.8499520421028137, 1.0392069816589355, -0.1725437194108963, 0.090367890894413, -0.1890699565410614]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[806.0, 871.0, 900.0, 900.0, 800.0, 0.0]","[0.36868271231651306, 0.21251626312732697, -0.19572636485099792, 0.13893312215805054, -1.1988539695739746, -0.09076852351427078, 0.29062944650650024, 0.3481297492980957, -0.3999974727630615, 0.26222681999206543, 0.2602614164352417, 0.4354947507381439, -0.09526260942220688, 0.08536363393068314, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25130826234817505, 0.28666701912879944, -0.14098431169986725, -0.06589779257774353, -1.1020902395248413, -0.2014167308807373, 0.13018003106117249, 0.27710941433906555, -0.42045536637306213, 0.29764172434806824, 0.24073772132396698, 0.4670392572879791, -0.16246454417705536, 0.12703220546245575, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
5,5,5,0.0,dataset,0.07369776399900729,True,"[0.1475018411874771, 0.31743815541267395, -0.5414832234382629, 1.0129066705703735, -1.2382581233978271, -0.08750881254673004, 0.15113306045532227, -0.09346497058868408, -0.14430205523967743, 0.8592569828033447, 1.0490272045135498, -0.1804824322462082, 0.0980549305677414, -0.19310182332992554]","[299.0, 299.0, 299.0, 197.0, 116.0, 268.0]","[766.0, 824.0, 892.0, 899.0, 803.0, 0.0]","[0.2549981474876404, 0.2870613932609558, -0.14092257618904114, -0.06805554032325745, -1.1065564155578613, -0.2047654092311859, 0.12537433207035065, 0.2792743444442749, -0.4217317998409271, 0.2964577376842499, 0.2388928234577179, 0.4631003141403198, -0.16382800042629242, 0.13129085302352905, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.15750184655189514, 0.3074381649494171, -0.5314832329750061, 1.0029066801071167, -1.2282581329345703, -0.09750881046056747, 0.14113305509090424, -0.08346497267484665, -0.15430206060409546, 0.8492569923400879, 1.039027214050293, -0.17048242688179016, 0.08805493265390396, -0.1831018179655075]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[816.0, 874.0, 900.0, 900.0, 800.0, 0.0]","[0.3686227798461914, 0.21254023909568787, -0.19567842781543732, 0.13887320458889008, -1.19884192943573, -0.09079249203205109, 0.2885202169418335, 0.3476743698120117, -0.4002012312412262, 0.26253843307495117, 0.26020148396492004, 0.4355067312717438, -0.09521467238664627, 0.0860946774482727, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.2549981474876404, 0.2870613932609558, -0.14092257618904114, -0.06805554032325745, -1.1065564155578613, -0.2047654092311859, 0.12537433207035065, 0.2792743444442749, -0.4217317998409271, 0.2964577376842499, 0.2388928234577179, 0.4631003141403198, -0.16382800042629242, 0.13129085302352905, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
6,6,6,0.0,dataset,0.08759693300089566,True,"[0.15048591792583466, 0.31695878505706787, -0.5391223430633545, 1.0125951766967773, -1.238138198852539, -0.0875447690486908, 0.1510012447834015, -0.09249424934387207, -0.1442061811685562, 0.8573634624481201, 1.048883318901062, -0.17827732861042023, 0.09387243539094925, -0.19035743176937103]","[299.0, 299.0, 299.0, 197.0, 116.0, 268.0]","[771.0, 832.0, 898.0, 899.0, 803.0, 0.0]","[0.25489333271980286, 0.2874063551425934, -0.1409178376197815, -0.06747577339410782, -1.1075489521026611, -0.20959724485874176, 0.12356153130531311, 0.2808116674423218, -0.4227813482284546, 0.29641422629356384, 0.23240554332733154, 0.4568215310573578, -0.16366742551326752, 0.1350734531879425, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.16048592329025269, 0.30695879459381104, -0.5291223526000977, 1.0025951862335205, -1.2281382083892822, -0.09754476696252823, 0.14100123941898346, -0.08249425143003464, -0.15420618653297424, 0.8473634719848633, 1.0388833284378052, -0.1682773232460022, 0.08387243747711182, -0.180357426404953]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[821.0, 882.0, 900.0, 900.0, 800.0, 0.0]","[0.3686707317829132, 0.21254023909568787, -0.19606192409992218, 0.13888518512248993, -1.1988539695739746, -0.09080447256565094, 0.28740569949150085, 0.34744665026664734, -0.4011719524860382, 0.26253843307495117, 0.2602134943008423, 0.4354468286037445, -0.09520268440246582, 0.0869215875864029, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25489333271980286, 0.2874063551425934, -0.1409178376197815, -0.06747577339410782, -1.1075489521026611, -0.20959724485874176, 0.12356153130531311, 0.2808116674423218, -0.4227813482284546, 0.29641422629356384, 0.23240554332733154, 0.4568215310573578, -0.16366742551326752, 0.1350734531879425, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
7,7,7,0.0,dataset,0.06706165300056455,True,"[0.15508785843849182, 0.316575288772583, -0.5365098118782043, 1.0107495784759521, -1.23806631565094, -0.0875687301158905, 0.1507016271352768, -0.08978581428527832, -0.14444586634635925, 0.8564167022705078, 1.0485597848892212, -0.17627596855163574, 0.08980978280305862, -0.18688200414180756]","[299.0, 299.0, 299.0, 197.0, 116.0, 268.0]","[805.0, 864.0, 898.0, 899.0, 803.0, 0.0]","[0.25315022468566895, 0.2873590886592865, -0.14541850984096527, -0.06472344696521759, -1.104962706565857, -0.21491335332393646, 0.12630820274353027, 0.27968114614486694, -0.4240519106388092, 0.2986530065536499, 0.23073317110538483, 0.45636704564094543, -0.16286036372184753, 0.1347084641456604, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.16508786380290985, 0.30657529830932617, -0.5265098214149475, 1.0007495880126953, -1.228066325187683, -0.09756872802972794, 0.14070162177085876, -0.07978581637144089, -0.15444587171077728, 0.846416711807251, 1.0385597944259644, -0.1662759631872177, 0.07980978488922119, -0.17688199877738953]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[855.0, 900.0, 900.0, 900.0, 800.0, 0.0]","[0.3686946928501129, 0.21254023909568787, -0.19609788060188293, 0.13893312215805054, -1.1988779306411743, -0.09080447256565094, 0.2874176800251007, 0.34809380769729614, -0.4016273319721222, 0.262550413608551, 0.2602134943008423, 0.4351711869239807, -0.09515474736690521, 0.08778444677591324, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25315022468566895, 0.2873590886592865, -0.14541850984096527, -0.06472344696521759, -1.104962706565857, -0.21491335332393646, 0.12630820274353027, 0.27968114614486694, -0.4240519106388092, 0.2986530065536499, 0.23073317110538483, 0.45636704564094543, -0.16286036372184753, 0.1347084641456604, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
8,8,8,0.0,dataset,0.0823942300012277,True,"[0.15982162952423096, 0.31609591841697693, -0.534220814704895, 1.0100065469741821, -1.2379584312438965, -0.08755674958229065, 0.15060575306415558, -0.08835969120264053, -0.14442190527915955, 0.8555658459663391, 1.0483320951461792, -0.17470604181289673, 0.08646618574857712, -0.184401273727417]","[299.0, 299.0, 299.0, 197.0, 116.0, 268.0]","[817.0, 872.0, 898.0, 899.0, 803.0, 0.0]","[0.25268545746803284, 0.28890952467918396, -0.14564628899097443, -0.06276678293943405, -1.1094121932983398, -0.21706220507621765, 0.12585130333900452, 0.2802010178565979, -0.427080899477005, 0.29866084456443787, 0.22760653495788574, 0.45402583479881287, -0.16312015056610107, 0.13579297065734863, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.169821634888649, 0.3060959279537201, -0.5242208242416382, 1.0000065565109253, -1.2279584407806396, -0.09755674749612808, 0.14060574769973755, -0.0783596932888031, -0.15442191064357758, 0.8455658555030823, 1.0383321046829224, -0.1647060364484787, 0.07646618783473969, -0.17440126836299896]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[867.0, 900.0, 900.0, 900.0, 800.0, 0.0]","[0.3686946928501129, 0.21256420016288757, -0.19633756577968597, 0.13895709812641144, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3479020595550537, -0.40392830967903137, 0.263005793094635, 0.26020148396492004, 0.4349434971809387, -0.09499895572662354, 0.09199091047048569, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25268545746803284, 0.28890952467918396, -0.14564628899097443, -0.06276678293943405, -1.1094121932983398, -0.21706220507621765, 0.12585130333900452, 0.2802010178565979, -0.427080899477005, 0.29866084456443787, 0.22760653495788574, 0.45402583479881287, -0.16312015056610107, 0.13579297065734863, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
9,9,9,0.0,dataset,0.06833907200052636,True,"[0.16568191349506378, 0.3144780397415161, -0.5296308398246765, 1.0090358257293701, -1.2378865480422974, -0.08753278106451035, 0.15055781602859497, -0.08635832369327545, -0.1444578468799591, 0.8542355895042419, 1.0478886365890503, -0.17275260388851166, 0.08388957381248474, -0.1817767322063446]","[299.0, 299.0, 299.0, 197.0, 116.0, 268.0]","[820.0, 880.0, 899.0, 899.0, 803.0, 0.0]","[0.252299964427948, 0.28918129205703735, -0.14630362391471863, -0.06224444508552551, -1.1108037233352661, -0.21874727308750153, 0.12717337906360626, 0.2800115942955017, -0.42830541729927063, 0.29901713132858276, 0.22527562081813812, 0.45009419322013855, -0.16269159317016602, 0.13778527081012726, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.1756819188594818, 0.3044780492782593, -0.5196308493614197, 0.9990358352661133, -1.2278865575790405, -0.09753277897834778, 0.14055781066417694, -0.07635832577943802, -0.15445785224437714, 0.8442355990409851, 1.0378886461257935, -0.16275259852409363, 0.07388957589864731, -0.17177672684192657]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[870.0, 900.0, 900.0, 900.0, 800.0, 0.0]","[0.3686946928501129, 0.21257618069648743, -0.19662518799304962, 0.1389690786600113, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3477103114128113, -0.4057978391647339, 0.2632574737071991, 0.2601895034313202, 0.4349434971809387, -0.09499895572662354, 0.09417204558849335, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.252299964427948, 0.28918129205703735, -0.14630362391471863, -0.06224444508552551, -1.1108037233352661, -0.21874727308750153, 0.12717337906360626, 0.2800115942955017, -0.42830541729927063, 0.29901713132858276, 0.22527562081813812, 0.45009419322013855, -0.16269159317016602, 0.13778527081012726, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
