policy_step,dataset_index,dataset_frame,inference_s,loop_s,sent_to_robot,arm_state,left_hand_state,right_hand_state,predicted_action,limited_arm,limited_left_hand,limited_right_hand,dataset_state,dataset_action
0,0,0,1.1243009320005513,1.2007365500012384,True,"[0.29376929998397827, 0.1594860702753067, -0.03232145681977272, 1.0023486614227295, 0.0721929743885994, 0.0953584834933281, -0.04422179237008095, 0.29901841282844543, -0.1609840989112854, 0.03804991394281387, 1.011804223060608, -0.11629492044448853, 0.09541840106248856, 0.051172640174627304]","[336.0, 2.0, 1.0, 5.0, 10.0, 935.0]","[2.0, 2.0, 0.0, 8.0, 0.0, 503.0]","[-0.025150740519165993, 0.19747024774551392, 0.07974177598953247, 0.9537757635116577, -1.0370352268218994, -0.2535023093223572, -0.035990625619888306, -0.04235118627548218, -0.49073487520217896, 0.01742216944694519, 0.09983459115028381, 0.27488183975219727, -0.3072114586830139, -0.30091339349746704, 0.30000030994415283, 0.3000003397464752, 0.2999999225139618, 0.19999970495700836, 0.10000038146972656, 0.0, 0.867185115814209, 0.8665833473205566, 0.8665156364440918, 0.861058235168457, 0.7609295845031738, 0.0]","[0.28376930952072144, 0.16948607563972473, -0.022321457043290138, 0.9923486709594727, 0.06219297647476196, 0.08535848557949066, -0.035990625619888306, 0.2890184223651886, -0.17098410427570343, 0.02804991416633129, 1.001804232597351, -0.10629492253065109, 0.08541840314865112, 0.04117263853549957]","[286.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.867185115814209, 0.8665833473205566, 0.8665156364440918, 0.861058235168457, 0.7609295845031738, 453.0]","[0.36773595213890076, 0.2125042825937271, -0.19506722688674927, 0.13865748047828674, -1.1988658905029297, -0.09092431515455246, 0.2910129427909851, 0.34811776876449585, -0.39933836460113525, 0.2565223276615143, 0.258667528629303, 0.43556666374206543, -0.10707905143499374, 0.08358997106552124, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24442234635353088, 0.28508755564689636, -0.13917025923728943, -0.055223532021045685, -1.1037503480911255, -0.2001938819885254, 0.139725923538208, 0.2734237611293793, -0.4169085919857025, 0.2973143756389618, 0.24402667582035065, 0.47058749198913574, -0.16312283277511597, 0.12246698141098022, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
1,1,1,0.007120898000721354,0.06915913100056059,True,"[0.2923072278499603, 0.1597137749195099, -0.028965871781110764, 1.0015816688537598, 0.0685737356543541, 0.09327322244644165, -0.04266384243965149, 0.29809561371803284, -0.16122378408908844, 0.03538941591978073, 1.0116842985153198, -0.11273560672998428, 0.09339306503534317, 0.049327071756124496]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 2.0, 0.0, 8.0, 0.0, 503.0]","[-0.02182391844689846, 0.1885722428560257, 0.08861495554447174, 0.9847209453582764, -1.0405999422073364, -0.261676549911499, -0.02150997519493103, -0.03103691339492798, -0.4873199462890625, 0.004682451486587524, 0.1150432825088501, 0.2844282388687134, -0.302781879901886, -0.3055594563484192, 0.30000030994415283, 0.3000003397464752, 0.2999999225139618, 0.19999971985816956, 0.10000035911798477, 0.0, 0.8737936019897461, 0.8732562065124512, 0.8732051849365234, 0.8688371181488037, 0.7687162160873413, 0.0]","[0.2823072373867035, 0.16971378028392792, -0.01896587200462818, 0.9915816783905029, 0.05857373774051666, 0.08327322453260422, -0.032663844525814056, 0.288095623254776, -0.17122378945350647, 0.02538941614329815, 1.001684308052063, -0.10273560881614685, 0.08339306712150574, 0.039327070116996765]","[286.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8737936019897461, 0.8732562065124512, 0.8732051849365234, 0.8688373565673828, 0.7687162160873413, 453.0]","[0.36773595213890076, 0.21249230206012726, -0.195235013961792, 0.1386454999446869, -1.1988658905029297, -0.09092431515455246, 0.2908931076526642, 0.3480578660964966, -0.39961397647857666, 0.2585356831550598, 0.25927871465682983, 0.43553072214126587, -0.10392720252275467, 0.08474045991897583, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24684642255306244, 0.28463566303253174, -0.1363241970539093, -0.06041140854358673, -1.1018574237823486, -0.1937672197818756, 0.13669143617153168, 0.27452579140663147, -0.41791626811027527, 0.29724210500717163, 0.24438706040382385, 0.4686964154243469, -0.16210435330867767, 0.12461793422698975, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
2,2,2,0.006348552999043022,0.08846454200102016,True,"[0.2906893789768219, 0.16146346926689148, -0.024999093264341354, 1.0012580156326294, 0.06523013859987259, 0.09193099290132523, -0.03964381664991379, 0.29678934812545776, -0.16350078582763672, 0.03151851147413254, 1.0112649202346802, -0.1098354235291481, 0.0890907272696495, 0.045827675610780716]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 2.0, 0.0, 8.0, 0.0, 503.0]","[-0.008659359067678452, 0.18712730705738068, 0.08994829654693604, 0.9657974243164062, -1.0394483804702759, -0.269491046667099, -0.023923933506011963, -0.02746593952178955, -0.5011551380157471, -0.003498643636703491, 0.04599529504776001, 0.266787052154541, -0.3201889991760254, -0.3253319561481476, 0.3000003397464752, 0.30000028014183044, 0.2999999523162842, 0.19999977946281433, 0.10000031441450119, 0.0, 0.8680098652839661, 0.8676302433013916, 0.8675848245620728, 0.8622506260871887, 0.7621711492538452, 0.0]","[0.28068938851356506, 0.1714634746313095, -0.014999093487858772, 0.9912580251693726, 0.055230140686035156, 0.08193099498748779, -0.029643816873431206, 0.2867893576622009, -0.17350079119205475, 0.021518511697649956, 1.0012649297714233, -0.09983542561531067, 0.07909072935581207, 0.035827673971652985]","[286.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8680098056793213, 0.8676302433013916, 0.8675848245620728, 0.862250804901123, 0.7621711492538452, 453.0]","[0.36775991320610046, 0.21252824366092682, -0.19531890749931335, 0.1387174129486084, -1.1988658905029297, -0.0908883661031723, 0.2907852530479431, 0.3480818271636963, -0.39984169602394104, 0.25965023040771484, 0.2595663368701935, 0.4355546832084656, -0.10284861922264099, 0.08504006266593933, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24689100682735443, 0.2846303880214691, -0.1363029032945633, -0.0604422353208065, -1.1018520593643188, -0.19374361634254456, 0.13668397068977356, 0.2745389938354492, -0.4179222583770752, 0.29726067185401917, 0.2443813979625702, 0.4686882495880127, -0.1621003895998001, 0.12461652606725693, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
3,3,3,0.00928037000085169,0.07797758299966517,True,"[0.28805282711982727, 0.16306935250759125, -0.018395785242319107, 1.0005149841308594, 0.060987722128629684, 0.090864397585392, -0.03796602413058281, 0.2950636148452759, -0.16502277553081512, 0.030140327289700508, 1.010833501815796, -0.1083373948931694, 0.08586697280406952, 0.04277170076966286]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 2.0, 0.0, 8.0, 0.0, 503.0]","[-0.01470915973186493, 0.18138571083545685, 0.09122727811336517, 0.9865444898605347, -1.0447415113449097, -0.27175524830818176, -0.0133303701877594, -0.03396645188331604, -0.492901474237442, -0.00511401891708374, 0.0886412262916565, 0.28126034140586853, -0.31148046255111694, -0.31695473194122314, 0.30000030994415283, 0.30000028014183044, 0.29999998211860657, 0.19999976456165314, 0.10000032931566238, 0.0, 0.8736155033111572, 0.8731958866119385, 0.8731610178947449, 0.8687598705291748, 0.7686559557914734, 0.0]","[0.27805283665657043, 0.17306935787200928, -0.008395785465836525, 0.9905149936676025, 0.05098772048950195, 0.08086439967155457, -0.027966024354100227, 0.28506362438201904, -0.17502278089523315, 0.020140327513217926, 1.000833511352539, -0.09833739697933197, 0.07586697489023209, 0.032771699130535126]","[286.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8736155033111572, 0.8731958866119385, 0.8731610178947449, 0.8687601089477539, 0.7686559557914734, 453.0]","[0.3681793808937073, 0.2125042825937271, -0.19537882506847382, 0.13887320458889008, -1.1988539695739746, -0.09076852351427078, 0.2907373011112213, 0.348105788230896, -0.3998536765575409, 0.2610164284706116, 0.25985395908355713, 0.435518741607666, -0.0986781120300293, 0.08531569689512253, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24807719886302948, 0.28516489267349243, -0.14065061509609222, -0.06366798281669617, -1.1009148359298706, -0.201852485537529, 0.13203182816505432, 0.276168555021286, -0.41826769709587097, 0.29840776324272156, 0.2408219873905182, 0.466248095035553, -0.16178582608699799, 0.12428159266710281, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
4,4,4,0.009898551999867777,0.08714983400022902,True,"[0.28590765595436096, 0.16366855800151825, -0.013218600302934647, 1.0003951787948608, 0.056062206625938416, 0.09082844108343124, -0.03724697232246399, 0.2944404184818268, -0.16499881446361542, 0.029205556958913803, 1.010689616203308, -0.10645586997270584, 0.08460862934589386, 0.03984754905104637]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 2.0, 0.0, 8.0, 0.0, 503.0]","[-0.005478475242853165, 0.18440143764019012, 0.09025080502033234, 0.9549845457077026, -1.0413951873779297, -0.2745412588119507, -0.021197229623794556, -0.020538806915283203, -0.49993786215782166, -0.010961443185806274, 0.0331762433052063, 0.28388458490371704, -0.3155643343925476, -0.31621432304382324, 0.30000030994415283, 0.30000025033950806, 0.29999998211860657, 0.19999979436397552, 0.1000003069639206, 0.0, 0.8717411756515503, 0.871395468711853, 0.8713665008544922, 0.8666539788246155, 0.7665621638298035, 0.0]","[0.2759076654911041, 0.17366856336593628, -0.0032186005264520645, 0.990395188331604, 0.04606220871210098, 0.08082844316959381, -0.027246972545981407, 0.28444042801856995, -0.17499881982803345, 0.01920555718243122, 1.0006896257400513, -0.09645587205886841, 0.07460863143205643, 0.02984754927456379]","[286.0, 0.3000001907348633, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8717411756515503, 0.871395468711853, 0.8713665008544922, 0.8666539192199707, 0.7665621638298035, 453.0]","[0.36868271231651306, 0.21251626312732697, -0.19572636485099792, 0.13893312215805054, -1.1988539695739746, -0.09076852351427078, 0.29062944650650024, 0.3481297492980957, -0.3999974727630615, 0.26222681999206543, 0.2602614164352417, 0.4354947507381439, -0.09526260942220688, 0.08536363393068314, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25130826234817505, 0.28666701912879944, -0.14098431169986725, -0.06589779257774353, -1.1020902395248413, -0.2014167308807373, 0.13018003106117249, 0.27710941433906555, -0.42045536637306213, 0.29764172434806824, 0.24073772132396698, 0.4670392572879791, -0.16246454417705536, 0.12703220546245575, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
5,5,5,0.007111484999768436,0.07497986499947729,True,"[0.28279176354408264, 0.1646272987127304, -0.00894023198634386, 1.0002633333206177, 0.051112718880176544, 0.09076852351427078, -0.0360964871942997, 0.2938172519207001, -0.16533437371253967, 0.027947213500738144, 1.010677695274353, -0.10524546355009079, 0.08354203402996063, 0.03810983523726463]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 2.0, 0.0, 8.0, 0.0, 503.0]","[-0.004790104925632477, 0.17747634649276733, 0.10104233026504517, 0.9891738891601562, -1.0396511554718018, -0.2781716585159302, -0.01012885570526123, -0.014118611812591553, -0.49953603744506836, -0.022093474864959717, 0.038389652967453, 0.28155747056007385, -0.3146488666534424, -0.30828744173049927, 0.30000030994415283, 0.30000025033950806, 0.29999998211860657, 0.1999998241662979, 0.1000002771615982, 0.0, 0.875619649887085, 0.8753482103347778, 0.8753383159637451, 0.8712590932846069, 0.7711732387542725, 0.0]","[0.2727917730808258, 0.17462730407714844, 0.0010597677901387215, 0.9902633428573608, 0.04111272096633911, 0.08076852560043335, -0.026096487417817116, 0.28381726145744324, -0.1753343790769577, 0.017947213724255562, 1.0006777048110962, -0.09524546563625336, 0.0735420361161232, 0.02810983546078205]","[286.0, 0.3000001907348633, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.875619649887085, 0.8753482103347778, 0.8753383159637451, 0.8712592124938965, 0.7711732387542725, 453.0]","[0.3686227798461914, 0.21254023909568787, -0.19567842781543732, 0.13887320458889008, -1.19884192943573, -0.09079249203205109, 0.2885202169418335, 0.3476743698120117, -0.4002012312412262, 0.26253843307495117, 0.26020148396492004, 0.4355067312717438, -0.09521467238664627, 0.0860946774482727, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.2549981474876404, 0.2870613932609558, -0.14092257618904114, -0.06805554032325745, -1.1065564155578613, -0.2047654092311859, 0.12537433207035065, 0.2792743444442749, -0.4217317998409271, 0.2964577376842499, 0.2388928234577179, 0.4631003141403198, -0.16382800042629242, 0.13129085302352905, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
6,6,6,0.006460512000558083,0.09058846500010986,True,"[0.27914854884147644, 0.16526246070861816, -0.006531402934342623, 1.0002154111862183, 0.04651077836751938, 0.09075653553009033, -0.035533227026462555, 0.2927626371383667, -0.16528643667697906, 0.02750379778444767, 1.010689616203308, -0.10445450991392136, 0.08259528130292892, 0.03733086213469505]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 2.0, 0.0, 8.0, 0.0, 503.0]","[0.0003800690174102783, 0.17861369252204895, 0.09381648898124695, 0.9763796329498291, -1.039146900177002, -0.2751016616821289, -0.01472318172454834, -0.01330450177192688, -0.5002809166908264, -0.014776855707168579, 0.041112303733825684, 0.2880535423755646, -0.305204838514328, -0.3027801811695099, 0.30000030994415283, 0.30000028014183044, 0.29999998211860657, 0.19999979436397552, 0.10000031441450119, 0.0, 0.8733115792274475, 0.8729552626609802, 0.8729305267333984, 0.8684837818145752, 0.7683784365653992, 0.0]","[0.2691485583782196, 0.1752624660730362, 0.0034685968421399593, 0.9902154207229614, 0.036510780453681946, 0.0807565376162529, -0.025533227249979973, 0.28276264667510986, -0.1752864420413971, 0.017503798007965088, 1.0006896257400513, -0.09445451200008392, 0.07259528338909149, 0.02733086235821247]","[286.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8733115196228027, 0.872955322265625, 0.8729305267333984, 0.8684835433959961, 0.7683784365653992, 453.0]","[0.3686707317829132, 0.21254023909568787, -0.19606192409992218, 0.13888518512248993, -1.1988539695739746, -0.09080447256565094, 0.28740569949150085, 0.34744665026664734, -0.4011719524860382, 0.26253843307495117, 0.2602134943008423, 0.4354468286037445, -0.09520268440246582, 0.0869215875864029, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25489333271980286, 0.2874063551425934, -0.1409178376197815, -0.06747577339410782, -1.1075489521026611, -0.20959724485874176, 0.12356153130531311, 0.2808116674423218, -0.4227813482284546, 0.29641422629356384, 0.23240554332733154, 0.4568215310573578, -0.16366742551326752, 0.1350734531879425, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
7,7,7,0.01215662600043288,0.08050251300119271,True,"[0.2752057611942291, 0.165777787566185, -0.0024567660875618458, 1.0001914501190186, 0.04199272394180298, 0.09075653553009033, -0.033915355801582336, 0.29055753350257874, -0.16531039774417877, 0.02702442742884159, 1.010677695274353, -0.10419085621833801, 0.08206797391176224, 0.036192361265420914]","[336.0, 2.0, 1.0, 5.0, 10.0, 935.0]","[2.0, 2.0, 0.0, 8.0, 0.0, 503.0]","[-0.0026134438812732697, 0.1771916002035141, 0.09732396900653839, 0.9904230833053589, -1.038594126701355, -0.2754925489425659, -0.00882422924041748, -0.007635831832885742, -0.49803054332733154, -0.020861148834228516, 0.05179858207702637, 0.30117830634117126, -0.29708749055862427, -0.29464760422706604, 0.30000030994415283, 0.30000028014183044, 0.29999998211860657, 0.19999977946281433, 0.10000032931566238, 0.0, 0.8744229674339294, 0.8740110397338867, 0.8739893436431885, 0.8697311878204346, 0.7696004509925842, 0.0]","[0.2652057707309723, 0.17577779293060303, 0.007543233688920736, 0.9904230833053589, 0.031992726027965546, 0.0807565376162529, -0.023915356025099754, 0.2805575430393219, -0.1753104031085968, 0.01702442765235901, 1.0006777048110962, -0.09419085830450058, 0.0720679759979248, 0.02619236148893833]","[286.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8744230270385742, 0.8740110397338867, 0.8739893436431885, 0.8697309494018555, 0.7696004509925842, 453.0]","[0.3686946928501129, 0.21254023909568787, -0.19609788060188293, 0.13893312215805054, -1.1988779306411743, -0.09080447256565094, 0.2874176800251007, 0.34809380769729614, -0.4016273319721222, 0.262550413608551, 0.2602134943008423, 0.4351711869239807, -0.09515474736690521, 0.08778444677591324, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25315022468566895, 0.2873590886592865, -0.14541850984096527, -0.06472344696521759, -1.104962706565857, -0.21491335332393646, 0.12630820274353027, 0.27968114614486694, -0.4240519106388092, 0.2986530065536499, 0.23073317110538483, 0.45636704564094543, -0.16286036372184753, 0.1347084641456604, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
8,8,8,0.007151775000238558,0.08979418899980374,True,"[0.2713707983493805, 0.16596953570842743, 0.003103914437815547, 1.0001914501190186, 0.03801396116614342, 0.09075653553009033, -0.03185407072305679, 0.28798094391822815, -0.16529841721057892, 0.02683268114924431, 1.0106656551361084, -0.10398712009191513, 0.08126503229141235, 0.035173699259757996]","[336.0, 2.0, 1.0, 5.0, 10.0, 935.0]","[2.0, 2.0, 0.0, 8.0, 0.0, 503.0]","[0.0011197440326213837, 0.17592738568782806, 0.09251430630683899, 0.9739542007446289, -1.0419076681137085, -0.27759790420532227, -0.011987835168838501, -0.009874194860458374, -0.5036882758140564, -0.02122679352760315, 0.02952718734741211, 0.2949120104312897, -0.3045257329940796, -0.30135759711265564, 0.30000030994415283, 0.30000025033950806, 0.30000001192092896, 0.19999979436397552, 0.10000032186508179, 0.0, 0.8723785877227783, 0.8720099329948425, 0.8719921708106995, 0.8673924207687378, 0.7672710418701172, 0.0]","[0.26137080788612366, 0.17592738568782806, 0.013103914447128773, 0.9901914596557617, 0.028013961389660835, 0.0807565376162529, -0.02185407094657421, 0.2779809534549713, -0.17529842257499695, 0.016832681372761726, 1.0006656646728516, -0.0939871221780777, 0.07126503437757492, 0.025173699483275414]","[286.0, 0.3000001907348633, 0.30000001192092896, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8723785877227783, 0.8720099925994873, 0.8719921708106995, 0.8673925399780273, 0.7672710418701172, 453.0]","[0.3686946928501129, 0.21256420016288757, -0.19633756577968597, 0.13895709812641144, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3479020595550537, -0.40392830967903137, 0.263005793094635, 0.26020148396492004, 0.4349434971809387, -0.09499895572662354, 0.09199091047048569, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25268545746803284, 0.28890952467918396, -0.14564628899097443, -0.06276678293943405, -1.1094121932983398, -0.21706220507621765, 0.12585130333900452, 0.2802010178565979, -0.427080899477005, 0.29866084456443787, 0.22760653495788574, 0.45402583479881287, -0.16312015056610107, 0.13579297065734863, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
9,9,9,0.007056395999825327,0.07590669599994726,True,"[0.26850655674934387, 0.16624517738819122, 0.006531402934342623, 1.0001795291900635, 0.03452655300498009, 0.09073256701231003, -0.02611362747848034, 0.2860035300254822, -0.16528643667697906, 0.0267847441136837, 1.010617733001709, -0.103819340467453, 0.08023438602685928, 0.03389138728380203]","[336.0, 2.0, 1.0, 5.0, 10.0, 935.0]","[2.0, 2.0, 0.0, 8.0, 0.0, 503.0]","[0.0003058426082134247, 0.17710626125335693, 0.0924312025308609, 0.9534813165664673, -1.0443631410598755, -0.2816089987754822, -0.008189499378204346, -0.0005623102188110352, -0.4969310164451599, -0.012028306722640991, 0.050737619400024414, 0.288290411233902, -0.29964202642440796, -0.29576951265335083, 0.30000030994415283, 0.30000025033950806, 0.30000001192092896, 0.1999998241662979, 0.10000026971101761, 0.0, 0.8778228759765625, 0.8775351047515869, 0.8775233030319214, 0.8738237619400024, 0.7737265229225159, 0.0]","[0.25850656628608704, 0.17624518275260925, 0.016531402245163918, 0.9901795387268066, 0.024526553228497505, 0.0807325690984726, -0.016113627701997757, 0.27600353956222534, -0.1752864420413971, 0.01678474433720112, 1.0006177425384521, -0.09381934255361557, 0.07023438811302185, 0.02389138750731945]","[286.0, 0.3000001907348633, 0.30000001192092896, 0.19999980926513672, 0.10000038146972656, 885.0]","[0.8778228759765625, 0.8775351047515869, 0.8775233030319214, 0.8738236427307129, 0.7737265229225159, 453.0]","[0.3686946928501129, 0.21257618069648743, -0.19662518799304962, 0.1389690786600113, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3477103114128113, -0.4057978391647339, 0.2632574737071991, 0.2601895034313202, 0.4349434971809387, -0.09499895572662354, 0.09417204558849335, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.252299964427948, 0.28918129205703735, -0.14630362391471863, -0.06224444508552551, -1.1108037233352661, -0.21874727308750153, 0.12717337906360626, 0.2800115942955017, -0.42830541729927063, 0.29901713132858276, 0.22527562081813812, 0.45009419322013855, -0.16269159317016602, 0.13778527081012726, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
