policy_step,dataset_index,dataset_frame,inference_s,loop_s,sent_to_robot,arm_state,left_hand_state,right_hand_state,predicted_action,limited_arm,limited_left_hand,limited_right_hand,dataset_state,dataset_action
0,0,0,1.0121089320000465,1.0823269039992738,False,"[-0.2548205852508545, 1.798568606376648, 0.8555418848991394, 2.041081428527832, -1.305082082748413, 0.11127353459596634, -0.2398882359266281, 0.06321679055690765, 0.000874848454259336, -0.010785802267491817, 1.5289593935012817, 0.28019118309020996, 0.0174490325152874, -0.049854375422000885]","[337.0, 2.0, 0.0, 4.0, 10.0, 935.0]","[70.0, 15.0, 0.0, 15.0, 589.0, 988.0]","[-0.022608604282140732, 0.19671401381492615, 0.06717582046985626, 0.8881260752677917, -1.0156409740447998, -0.28348180651664734, -0.03062492609024048, -0.056327879428863525, -0.4653456211090088, 0.07875488698482513, 0.21472346782684326, 0.3318532109260559, -0.2552427053451538, -0.15654025971889496, 0.30000022053718567, 0.3000004291534424, 0.2999998927116394, 0.19999955594539642, 0.10000050812959671, 0.0, 0.8805088996887207, 0.8795449137687683, 0.8794538974761963, 0.8762607574462891, 0.7760124206542969, 0.0]","[-0.23482058942317963, 1.7785686254501343, 0.8355419039726257, 2.0210814476013184, -1.2850821018218994, 0.09127353131771088, -0.21988824009895325, 0.04321679100394249, -0.01912515051662922, 0.009214197285473347, 1.508959412574768, 0.300191193819046, -0.002550967037677765, -0.06985437870025635]","[257.0, 0.3000004291534424, 0.2999998927116394, 0.19999957084655762, 0.10000038146972656, 855.0]","[0.8805084228515625, 0.8795452117919922, 0.8794538974761963, 0.8762607574462891, 509.0, 908.0]","[0.36773595213890076, 0.2125042825937271, -0.19506722688674927, 0.13865748047828674, -1.1988658905029297, -0.09092431515455246, 0.2910129427909851, 0.34811776876449585, -0.39933836460113525, 0.2565223276615143, 0.258667528629303, 0.43556666374206543, -0.10707905143499374, 0.08358997106552124, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24442234635353088, 0.28508755564689636, -0.13917025923728943, -0.055223532021045685, -1.1037503480911255, -0.2001938819885254, 0.139725923538208, 0.2734237611293793, -0.4169085919857025, 0.2973143756389618, 0.24402667582035065, 0.47058749198913574, -0.16312283277511597, 0.12246698141098022, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
1,1,1,0.00887780099947122,0.07184744999904069,False,"[-0.2548205852508545, 1.7986044883728027, 0.8555538654327393, 2.041081428527832, -1.3051060438156128, 0.11127353459596634, -0.2398642748594284, 0.0632048025727272, 0.0008388957940042019, -0.010809770785272121, 1.5289593935012817, 0.2801792025566101, 0.01746101677417755, -0.04986635968089104]","[337.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[70.0, 15.0, 0.0, 15.0, 589.0, 988.0]","[-0.018440084531903267, 0.18897169828414917, 0.07734067738056183, 0.917548418045044, -1.022863745689392, -0.287921667098999, -0.020921975374221802, -0.04607316851615906, -0.4628616273403168, 0.06380631029605865, 0.21675986051559448, 0.33816051483154297, -0.2572881877422333, -0.16149145364761353, 0.30000022053718567, 0.30000039935112, 0.2999998927116394, 0.19999957084655762, 0.10000048577785492, 0.0, 0.8859108686447144, 0.8849902749061584, 0.8849093914031982, 0.8826055526733398, 0.7823678255081177, 0.0]","[-0.23482058942317963, 1.778604507446289, 0.8355538845062256, 2.0210814476013184, -1.2851060628890991, 0.09127353131771088, -0.21986427903175354, 0.04320480301976204, -0.019161103293299675, 0.009190228767693043, 1.508959412574768, 0.30017921328544617, -0.002538982778787613, -0.0698663592338562]","[257.0, 0.3000004291534424, 0.2999998927116394, 0.19999957084655762, 0.10000038146972656, 855.0]","[0.8859100341796875, 0.8849906921386719, 0.8849093914031982, 0.8826055526733398, 509.0, 908.0]","[0.36773595213890076, 0.21249230206012726, -0.195235013961792, 0.1386454999446869, -1.1988658905029297, -0.09092431515455246, 0.2908931076526642, 0.3480578660964966, -0.39961397647857666, 0.2585356831550598, 0.25927871465682983, 0.43553072214126587, -0.10392720252275467, 0.08474045991897583, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24684642255306244, 0.28463566303253174, -0.1363241970539093, -0.06041140854358673, -1.1018574237823486, -0.1937672197818756, 0.13669143617153168, 0.27452579140663147, -0.41791626811027527, 0.29724210500717163, 0.24438706040382385, 0.4686964154243469, -0.16210435330867767, 0.12461793422698975, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
2,2,2,0.004004080001323018,0.0907118229988555,False,"[-0.2548205852508545, 1.7985925674438477, 0.8555418848991394, 2.041081428527832, -1.3051060438156128, 0.11129750311374664, -0.2398882359266281, 0.06322877109050751, 0.0008388957940042019, -0.01079778652638197, 1.5289593935012817, 0.2802031636238098, 0.0174490325152874, -0.04987834393978119]","[337.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[70.0, 15.0, 0.0, 15.0, 589.0, 988.0]","[-0.014312155544757843, 0.1884998083114624, 0.0790044516324997, 0.9010357856750488, -1.036405086517334, -0.28960567712783813, -0.028041481971740723, -0.053427040576934814, -0.4757724702358246, 0.060827746987342834, 0.14204341173171997, 0.3081126809120178, -0.2834342122077942, -0.1845647543668747, 0.30000025033950806, 0.3000003695487976, 0.2999999225139618, 0.1999996155500412, 0.10000045597553253, 0.0, 0.877225935459137, 0.8764153718948364, 0.876327633857727, 0.8725780844688416, 0.7723807096481323, 0.0]","[-0.23482058942317963, 1.778592586517334, 0.8355419039726257, 2.0210814476013184, -1.2851060628890991, 0.09129750728607178, -0.21988824009895325, 0.04322877153754234, -0.019161103293299675, 0.009202213026583195, 1.508959412574768, 0.3002031743526459, -0.002550967037677765, -0.06987833976745605]","[257.0, 0.3000004291534424, 0.2999999523162842, 0.19999957084655762, 0.10000038146972656, 855.0]","[0.877227783203125, 0.8764152526855469, 0.876327633857727, 0.8725776672363281, 509.0, 908.0]","[0.36775991320610046, 0.21252824366092682, -0.19531890749931335, 0.1387174129486084, -1.1988658905029297, -0.0908883661031723, 0.2907852530479431, 0.3480818271636963, -0.39984169602394104, 0.25965023040771484, 0.2595663368701935, 0.4355546832084656, -0.10284861922264099, 0.08504006266593933, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24689100682735443, 0.2846303880214691, -0.1363029032945633, -0.0604422353208065, -1.1018520593643188, -0.19374361634254456, 0.13668397068977356, 0.2745389938354492, -0.4179222583770752, 0.29726067185401917, 0.2443813979625702, 0.4686882495880127, -0.1621003895998001, 0.12461652606725693, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
3,3,3,0.004690209001637413,0.07325308100007533,False,"[-0.25480860471725464, 1.798580527305603, 0.8555418848991394, 2.041081428527832, -1.3051060438156128, 0.11127353459596634, -0.23987625539302826, 0.0632048025727272, 0.0008388957940042019, -0.010785802267491817, 1.5289474725723267, 0.28019118309020996, 0.01746101677417755, -0.04986635968089104]","[337.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[70.0, 15.0, 0.0, 15.0, 589.0, 988.0]","[-0.017116030678153038, 0.18275529146194458, 0.08209879696369171, 0.9203670024871826, -1.0392780303955078, -0.29271572828292847, -0.019611269235610962, -0.055347979068756104, -0.4711702764034271, 0.05191120505332947, 0.16082242131233215, 0.3212495744228363, -0.28389713168144226, -0.17956839501857758, 0.30000025033950806, 0.3000003695487976, 0.2999999523162842, 0.1999996155500412, 0.10000045597553253, 0.0, 0.8816428184509277, 0.8808425068855286, 0.8807692527770996, 0.8777506351470947, 0.7775406837463379, 0.0]","[-0.23480860888957977, 1.7785805463790894, 0.8355419039726257, 2.0210814476013184, -1.2851060628890991, 0.09127353131771088, -0.2198762595653534, 0.04320480301976204, -0.019161103293299675, 0.009214197285473347, 1.508947491645813, 0.300191193819046, -0.002538982778787613, -0.0698663592338562]","[257.0, 0.3000004291534424, 0.2999999523162842, 0.19999957084655762, 0.10000038146972656, 855.0]","[0.8816452026367188, 0.8808422088623047, 0.8807692527770996, 0.8777503967285156, 509.0, 908.0]","[0.3681793808937073, 0.2125042825937271, -0.19537882506847382, 0.13887320458889008, -1.1988539695739746, -0.09076852351427078, 0.2907373011112213, 0.348105788230896, -0.3998536765575409, 0.2610164284706116, 0.25985395908355713, 0.435518741607666, -0.0986781120300293, 0.08531569689512253, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24807719886302948, 0.28516489267349243, -0.14065061509609222, -0.06366798281669617, -1.1009148359298706, -0.201852485537529, 0.13203182816505432, 0.276168555021286, -0.41826769709587097, 0.29840776324272156, 0.2408219873905182, 0.466248095035553, -0.16178582608699799, 0.12428159266710281, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
4,4,4,0.008741769001062494,0.08014166400062095,False,"[-0.25480860471725464, 1.798580527305603, 0.8555418848991394, 2.041069269180298, -1.305082082748413, 0.11127353459596634, -0.23987625539302826, 0.0632048025727272, 0.0008388957940042019, -0.010785802267491817, 1.5289593935012817, 0.2801792025566101, 0.0174490325152874, -0.04986635968089104]","[337.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[70.0, 15.0, 0.0, 15.0, 589.0, 988.0]","[-0.012689121067523956, 0.18599501252174377, 0.07991665601730347, 0.8941718339920044, -1.0408697128295898, -0.2945782542228699, -0.027965068817138672, -0.051783859729766846, -0.48046284914016724, 0.050251156091690063, 0.10897776484489441, 0.31609299778938293, -0.29169875383377075, -0.1844465136528015, 0.30000025033950806, 0.3000003397464752, 0.2999999523162842, 0.19999966025352478, 0.10000042617321014, 0.0, 0.8785842657089233, 0.8778551816940308, 0.8777816295623779, 0.8742574453353882, 0.7740654349327087, 0.0]","[-0.23480860888957977, 1.7785805463790894, 0.8355419039726257, 2.021069288253784, -1.2850821018218994, 0.09127353131771088, -0.2198762595653534, 0.04320480301976204, -0.019161103293299675, 0.009214197285473347, 1.508959412574768, 0.30017921328544617, -0.002550967037677765, -0.0698663592338562]","[257.0, 0.30000030994415283, 0.2999999523162842, 0.19999957084655762, 0.10000038146972656, 855.0]","[0.8785858154296875, 0.8778553009033203, 0.8777816295623779, 0.8742570877075195, 509.0, 908.0]","[0.36868271231651306, 0.21251626312732697, -0.19572636485099792, 0.13893312215805054, -1.1988539695739746, -0.09076852351427078, 0.29062944650650024, 0.3481297492980957, -0.3999974727630615, 0.26222681999206543, 0.2602614164352417, 0.4354947507381439, -0.09526260942220688, 0.08536363393068314, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25130826234817505, 0.28666701912879944, -0.14098431169986725, -0.06589779257774353, -1.1020902395248413, -0.2014167308807373, 0.13018003106117249, 0.27710941433906555, -0.42045536637306213, 0.29764172434806824, 0.24073772132396698, 0.4670392572879791, -0.16246454417705536, 0.12703220546245575, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
5,5,5,0.006478364999566111,0.0613382810006442,False,"[-0.2548205852508545, 1.798568606376648, 0.8555538654327393, 2.0410573482513428, -1.305082082748413, 0.11126154661178589, -0.2398882359266281, 0.06322877109050751, 0.0008388957940042019, -0.01079778652638197, 1.5289474725723267, 0.28019118309020996, 0.01746101677417755, -0.04986635968089104]","[337.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[70.0, 15.0, 0.0, 15.0, 589.0, 988.0]","[-0.009164359420537949, 0.1797405630350113, 0.09018640220165253, 0.9140686988830566, -1.0387359857559204, -0.29810065031051636, -0.016967326402664185, -0.044037967920303345, -0.47858381271362305, 0.03370054066181183, 0.09034755825996399, 0.3189881145954132, -0.29619893431663513, -0.17989952862262726, 0.30000025033950806, 0.30000030994415283, 0.2999999523162842, 0.19999967515468597, 0.10000040382146835, 0.0, 0.8816933631896973, 0.8810259103775024, 0.8809728026390076, 0.8779489994049072, 0.7777635455131531, 0.0]","[-0.23482058942317963, 1.7785686254501343, 0.8355538845062256, 2.021057367324829, -1.2850821018218994, 0.09126155078411102, -0.21988824009895325, 0.04322877153754234, -0.019161103293299675, 0.009202213026583195, 1.508947491645813, 0.300191193819046, -0.002538982778787613, -0.0698663592338562]","[257.0, 0.30000030994415283, 0.2999999523162842, 0.19999957084655762, 0.10000038146972656, 855.0]","[0.8816909790039062, 0.8810262680053711, 0.8809728026390076, 0.8779487609863281, 509.0, 908.0]","[0.3686227798461914, 0.21254023909568787, -0.19567842781543732, 0.13887320458889008, -1.19884192943573, -0.09079249203205109, 0.2885202169418335, 0.3476743698120117, -0.4002012312412262, 0.26253843307495117, 0.26020148396492004, 0.4355067312717438, -0.09521467238664627, 0.0860946774482727, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.2549981474876404, 0.2870613932609558, -0.14092257618904114, -0.06805554032325745, -1.1065564155578613, -0.2047654092311859, 0.12537433207035065, 0.2792743444442749, -0.4217317998409271, 0.2964577376842499, 0.2388928234577179, 0.4631003141403198, -0.16382800042629242, 0.13129085302352905, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
6,6,6,0.004267848000381491,0.07672860999991826,False,"[-0.25480860471725464, 1.798580527305603, 0.8555538654327393, 2.041081428527832, -1.305082082748413, 0.11127353459596634, -0.2398882359266281, 0.06321679055690765, 0.0008269115351140499, -0.010809770785272121, 1.5289714336395264, 0.28019118309020996, 0.0174490325152874, -0.04986635968089104]","[337.0, 2.0, 0.0, 4.0, 10.0, 935.0]","[70.0, 14.0, 0.0, 15.0, 589.0, 988.0]","[-0.006735421717166901, 0.1797505021095276, 0.08543138206005096, 0.9134302139282227, -1.0416513681411743, -0.29601624608039856, -0.02093029022216797, -0.045445531606674194, -0.48003265261650085, 0.04110114276409149, 0.09709030389785767, 0.31904157996177673, -0.2903752028942108, -0.17787931859493256, 0.30000028014183044, 0.30000030994415283, 0.29999998211860657, 0.19999967515468597, 0.10000041872262955, 0.0, 0.8814548254013062, 0.8807693719863892, 0.8807057738304138, 0.8776504993438721, 0.7774672508239746, 0.0]","[-0.23480860888957977, 1.7785805463790894, 0.8355538845062256, 2.0210814476013184, -1.2850821018218994, 0.09127353131771088, -0.21988824009895325, 0.04321679100394249, -0.019173087552189827, 0.009190228767693043, 1.5089714527130127, 0.300191193819046, -0.002550967037677765, -0.0698663592338562]","[257.0, 0.30000030994415283, 0.29999998211860657, 0.19999957084655762, 0.10000038146972656, 855.0]","[0.8814544677734375, 0.8807697296142578, 0.8807057738304138, 0.877650260925293, 509.0, 908.0]","[0.3686707317829132, 0.21254023909568787, -0.19606192409992218, 0.13888518512248993, -1.1988539695739746, -0.09080447256565094, 0.28740569949150085, 0.34744665026664734, -0.4011719524860382, 0.26253843307495117, 0.2602134943008423, 0.4354468286037445, -0.09520268440246582, 0.0869215875864029, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25489333271980286, 0.2874063551425934, -0.1409178376197815, -0.06747577339410782, -1.1075489521026611, -0.20959724485874176, 0.12356153130531311, 0.2808116674423218, -0.4227813482284546, 0.29641422629356384, 0.23240554332733154, 0.4568215310573578, -0.16366742551326752, 0.1350734531879425, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
7,7,7,0.00812316900010046,0.06520230199930666,False,"[-0.2548205852508545, 1.7985565662384033, 0.8555538654327393, 2.041069269180298, -1.3051060438156128, 0.11124956607818604, -0.2398882359266281, 0.06322877109050751, 0.000862864195369184, -0.01079778652638197, 1.5289593935012817, 0.28019118309020996, 0.017437048256397247, -0.04986635968089104]","[337.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[70.0, 15.0, 0.0, 15.0, 589.0, 988.0]","[-0.008499037474393845, 0.1776520013809204, 0.09236583113670349, 0.9295668005943298, -1.0421621799468994, -0.2960813045501709, -0.011567741632461548, -0.041306883096694946, -0.47473961114883423, 0.028198063373565674, 0.10648450255393982, 0.3353980779647827, -0.28881382942199707, -0.18062303960323334, 0.30000025033950806, 0.3000003397464752, 0.2999999523162842, 0.19999966025352478, 0.10000044107437134, 0.0, 0.8814601898193359, 0.8807154297828674, 0.8806561827659607, 0.8776029348373413, 0.7773934006690979, 0.0]","[-0.23482058942317963, 1.7785565853118896, 0.8355538845062256, 2.021069288253784, -1.2851060628890991, 0.09124957025051117, -0.21988824009895325, 0.04322877153754234, -0.01913713477551937, 0.009202213026583195, 1.508959412574768, 0.300191193819046, -0.002562951296567917, -0.0698663592338562]","[257.0, 0.30000030994415283, 0.2999999523162842, 0.19999957084655762, 0.10000038146972656, 855.0]","[0.8814620971679688, 0.8807153701782227, 0.8806561827659607, 0.8776025772094727, 509.0, 908.0]","[0.3686946928501129, 0.21254023909568787, -0.19609788060188293, 0.13893312215805054, -1.1988779306411743, -0.09080447256565094, 0.2874176800251007, 0.34809380769729614, -0.4016273319721222, 0.262550413608551, 0.2602134943008423, 0.4351711869239807, -0.09515474736690521, 0.08778444677591324, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25315022468566895, 0.2873590886592865, -0.14541850984096527, -0.06472344696521759, -1.104962706565857, -0.21491335332393646, 0.12630820274353027, 0.27968114614486694, -0.4240519106388092, 0.2986530065536499, 0.23073317110538483, 0.45636704564094543, -0.16286036372184753, 0.1347084641456604, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
8,8,8,0.005467218001285801,0.07686988199930056,False,"[-0.2548205852508545, 1.798580527305603, 0.8555538654327393, 2.041081428527832, -1.305082082748413, 0.11127353459596634, -0.23987625539302826, 0.0632048025727272, 0.000850879994686693, -0.01079778652638197, 1.5289593935012817, 0.28016722202301025, 0.0174490325152874, -0.04986635968089104]","[337.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[70.0, 15.0, 0.0, 15.0, 589.0, 988.0]","[-0.005253523588180542, 0.17642806470394135, 0.08899739384651184, 0.9190913438796997, -1.04671311378479, -0.29821351170539856, -0.015087157487869263, -0.04686957597732544, -0.4827091693878174, 0.02789461612701416, 0.06840261816978455, 0.3271273970603943, -0.2986883819103241, -0.18424881994724274, 0.30000028014183044, 0.30000030994415283, 0.29999998211860657, 0.19999969005584717, 0.10000041872262955, 0.0, 0.8793181777000427, 0.8786604404449463, 0.878606915473938, 0.875190794467926, 0.7750057578086853, 0.0]","[-0.23482058942317963, 1.7785805463790894, 0.8355538845062256, 2.0210814476013184, -1.2850821018218994, 0.09127353131771088, -0.2198762595653534, 0.04320480301976204, -0.019149119034409523, 0.009202213026583195, 1.508959412574768, 0.3001672327518463, -0.002550967037677765, -0.0698663592338562]","[257.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 855.0]","[0.8793182373046875, 0.8786602020263672, 0.878606915473938, 0.8751907348632812, 509.0, 908.0]","[0.3686946928501129, 0.21256420016288757, -0.19633756577968597, 0.13895709812641144, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3479020595550537, -0.40392830967903137, 0.263005793094635, 0.26020148396492004, 0.4349434971809387, -0.09499895572662354, 0.09199091047048569, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25268545746803284, 0.28890952467918396, -0.14564628899097443, -0.06276678293943405, -1.1094121932983398, -0.21706220507621765, 0.12585130333900452, 0.2802010178565979, -0.427080899477005, 0.29866084456443787, 0.22760653495788574, 0.45402583479881287, -0.16312015056610107, 0.13579297065734863, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
9,9,9,0.005442162000690587,0.0651087969999935,False,"[-0.2548205852508545, 1.7985925674438477, 0.8555538654327393, 2.041081428527832, -1.3051060438156128, 0.11127353459596634, -0.23987625539302826, 0.06321679055690765, 0.000850879994686693, -0.01079778652638197, 1.5289474725723267, 0.2801792025566101, 0.0174490325152874, -0.04986635968089104]","[337.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[70.0, 14.0, 0.0, 15.0, 589.0, 988.0]","[-0.0047865621745586395, 0.1767500787973404, 0.09164793789386749, 0.9107590317726135, -1.0464389324188232, -0.302798867225647, -0.012935459613800049, -0.0376887321472168, -0.48054438829421997, 0.03130194544792175, 0.08254632353782654, 0.3187502324581146, -0.29606178402900696, -0.1802053153514862, 0.30000025033950806, 0.30000028014183044, 0.29999998211860657, 0.19999971985816956, 0.10000037401914597, 0.0, 0.8833822011947632, 0.8827890753746033, 0.8827389478683472, 0.8799948692321777, 0.7798316478729248, 0.0]","[-0.23482058942317963, 1.778592586517334, 0.8355538845062256, 2.0210814476013184, -1.2851060628890991, 0.09127353131771088, -0.2198762595653534, 0.04321679100394249, -0.019149119034409523, 0.009202213026583195, 1.508947491645813, 0.30017921328544617, -0.002550967037677765, -0.0698663592338562]","[257.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 855.0]","[0.8833847045898438, 0.8827886581420898, 0.8827389478683472, 0.8799953460693359, 509.0, 908.0]","[0.3686946928501129, 0.21257618069648743, -0.19662518799304962, 0.1389690786600113, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3477103114128113, -0.4057978391647339, 0.2632574737071991, 0.2601895034313202, 0.4349434971809387, -0.09499895572662354, 0.09417204558849335, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.252299964427948, 0.28918129205703735, -0.14630362391471863, -0.06224444508552551, -1.1108037233352661, -0.21874727308750153, 0.12717337906360626, 0.2800115942955017, -0.42830541729927063, 0.29901713132858276, 0.22527562081813812, 0.45009419322013855, -0.16269159317016602, 0.13778527081012726, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
