policy_step,dataset_index,dataset_frame,inference_s,action_source,loop_s,sent_to_robot,arm_state,left_hand_state,right_hand_state,predicted_action,limited_arm,limited_left_hand,limited_right_hand,dataset_state,dataset_action
0,0,0,0.0,dataset,0.0009606550011085346,True,"[0.3468594253063202, 0.19789551198482513, -0.20361198484897614, 0.1429358571767807, -1.2007594108581543, -0.08417719602584839, 0.2860395014286041, 0.33827874064445496, -0.40890175104141235, 0.2494276762008667, 0.26951324939727783, 0.4363216757774353, -0.10306433588266373, 0.0809055045247078]","[299.0, 298.0, 300.0, 207.0, 1000.0, 0.0]","[501.0, 501.0, 505.0, 654.0, 326.0, 0.0]","[0.24442234635353088, 0.28508755564689636, -0.13917025923728943, -0.055223532021045685, -1.1037503480911255, -0.2001938819885254, 0.139725923538208, 0.2734237611293793, -0.4169085919857025, 0.2973143756389618, 0.24402667582035065, 0.47058749198913574, -0.16312283277511597, 0.12246698141098022, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.32685941457748413, 0.2178955078125, -0.18361198902130127, 0.12293586134910583, -1.1807594299316406, -0.10417719185352325, 0.26603949069976807, 0.3182787299156189, -0.4169085919857025, 0.26942768692970276, 0.24951325356960297, 0.45632168650627136, -0.12306433916091919, 0.10090550780296326]","[300.0, 300.0, 300.0, 200.0, 950.0, 0.0]","[551.0, 551.0, 555.0, 704.0, 376.0, 0.0]","[0.36773595213890076, 0.2125042825937271, -0.19506722688674927, 0.13865748047828674, -1.1988658905029297, -0.09092431515455246, 0.2910129427909851, 0.34811776876449585, -0.39933836460113525, 0.2565223276615143, 0.258667528629303, 0.43556666374206543, -0.10707905143499374, 0.08358997106552124, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24442234635353088, 0.28508755564689636, -0.13917025923728943, -0.055223532021045685, -1.1037503480911255, -0.2001938819885254, 0.139725923538208, 0.2734237611293793, -0.4169085919857025, 0.2973143756389618, 0.24402667582035065, 0.47058749198913574, -0.16312283277511597, 0.12246698141098022, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
1,1,1,0.0,dataset,0.0006998669996391982,True,"[0.3336528241634369, 0.19843479990959167, -0.20079569518566132, 0.14127004146575928, -1.1959657669067383, -0.08545950800180435, 0.28076642751693726, 0.32767269015312195, -0.40957286953926086, 0.2580203711986542, 0.26883015036582947, 0.4428171217441559, -0.1043706163764, 0.08651412278413773]","[299.0, 298.0, 300.0, 207.0, 1000.0, 0.0]","[501.0, 501.0, 505.0, 654.0, 326.0, 0.0]","[0.24684642255306244, 0.28463566303253174, -0.1363241970539093, -0.06041140854358673, -1.1018574237823486, -0.1937672197818756, 0.13669143617153168, 0.27452579140663147, -0.41791626811027527, 0.29724210500717163, 0.24438706040382385, 0.4686964154243469, -0.16210435330867767, 0.12461793422698975, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.31365281343460083, 0.21843479573726654, -0.18079569935798645, 0.12127004563808441, -1.1759657859802246, -0.10545951128005981, 0.2607664167881012, 0.3076726794242859, -0.41791626811027527, 0.27802038192749023, 0.2488301545381546, 0.46281713247299194, -0.12437061965465546, 0.10651412606239319]","[300.0, 300.0, 300.0, 200.0, 950.0, 0.0]","[551.0, 551.0, 555.0, 704.0, 376.0, 0.0]","[0.36773595213890076, 0.21249230206012726, -0.195235013961792, 0.1386454999446869, -1.1988658905029297, -0.09092431515455246, 0.2908931076526642, 0.3480578660964966, -0.39961397647857666, 0.2585356831550598, 0.25927871465682983, 0.43553072214126587, -0.10392720252275467, 0.08474045991897583, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24684642255306244, 0.28463566303253174, -0.1363241970539093, -0.06041140854358673, -1.1018574237823486, -0.1937672197818756, 0.13669143617153168, 0.27452579140663147, -0.41791626811027527, 0.29724210500717163, 0.24438706040382385, 0.4686964154243469, -0.16210435330867767, 0.12461793422698975, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
2,2,2,0.0,dataset,0.0006928210023033898,True,"[0.3253117799758911, 0.19968116283416748, -0.19741614162921906, 0.14100639522075653, -1.1922147274017334, -0.08562728762626648, 0.2777104377746582, 0.31681498885154724, -0.4123532176017761, 0.26721227169036865, 0.2682549059391022, 0.4480063021183014, -0.10567689687013626, 0.09407617151737213]","[299.0, 298.0, 300.0, 207.0, 1000.0, 0.0]","[501.0, 501.0, 505.0, 654.0, 326.0, 0.0]","[0.24689100682735443, 0.2846303880214691, -0.1363029032945633, -0.0604422353208065, -1.1018520593643188, -0.19374361634254456, 0.13668397068977356, 0.2745389938354492, -0.4179222583770752, 0.29726067185401917, 0.2443813979625702, 0.4686882495880127, -0.1621003895998001, 0.12461652606725693, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.30531176924705505, 0.21968115866184235, -0.1774161458015442, 0.12100639939308167, -1.1722147464752197, -0.10562728345394135, 0.25771042704582214, 0.2968149781227112, -0.4179222583770752, 0.2872122824192047, 0.2482549101114273, 0.46800631284713745, -0.12567690014839172, 0.114076167345047]","[300.0, 300.0, 300.0, 200.0, 950.0, 0.0]","[551.0, 551.0, 555.0, 704.0, 376.0, 0.0]","[0.36775991320610046, 0.21252824366092682, -0.19531890749931335, 0.1387174129486084, -1.1988658905029297, -0.0908883661031723, 0.2907852530479431, 0.3480818271636963, -0.39984169602394104, 0.25965023040771484, 0.2595663368701935, 0.4355546832084656, -0.10284861922264099, 0.08504006266593933, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24689100682735443, 0.2846303880214691, -0.1363029032945633, -0.0604422353208065, -1.1018520593643188, -0.19374361634254456, 0.13668397068977356, 0.2745389938354492, -0.4179222583770752, 0.29726067185401917, 0.2443813979625702, 0.4686882495880127, -0.1621003895998001, 0.12461652606725693, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
3,3,3,0.0,dataset,0.00072523199924035,True,"[0.3120093047618866, 0.2015746682882309, -0.19181950390338898, 0.1398199498653412, -1.1848922967910767, -0.08702944219112396, 0.27103522419929504, 0.30340462923049927, -0.4129045009613037, 0.2740672528743744, 0.26651719212532043, 0.45373475551605225, -0.10848120599985123, 0.10063154250383377]","[299.0, 298.0, 300.0, 207.0, 1000.0, 0.0]","[501.0, 501.0, 505.0, 656.0, 338.0, 0.0]","[0.24807719886302948, 0.28516489267349243, -0.14065061509609222, -0.06366798281669617, -1.1009148359298706, -0.201852485537529, 0.13203182816505432, 0.276168555021286, -0.41826769709587097, 0.29840776324272156, 0.2408219873905182, 0.466248095035553, -0.16178582608699799, 0.12428159266710281, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.29200929403305054, 0.22157466411590576, -0.1718195080757141, 0.11981995403766632, -1.164892315864563, -0.10702943801879883, 0.251035213470459, 0.2834046185016632, -0.41826769709587097, 0.29406726360321045, 0.24651719629764557, 0.466248095035553, -0.1284812092781067, 0.12063154578208923]","[300.0, 300.0, 300.0, 200.0, 950.0, 0.0]","[551.0, 551.0, 555.0, 706.0, 388.0, 0.0]","[0.3681793808937073, 0.2125042825937271, -0.19537882506847382, 0.13887320458889008, -1.1988539695739746, -0.09076852351427078, 0.2907373011112213, 0.348105788230896, -0.3998536765575409, 0.2610164284706116, 0.25985395908355713, 0.435518741607666, -0.0986781120300293, 0.08531569689512253, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24807719886302948, 0.28516489267349243, -0.14065061509609222, -0.06366798281669617, -1.1009148359298706, -0.201852485537529, 0.13203182816505432, 0.276168555021286, -0.41826769709587097, 0.29840776324272156, 0.2408219873905182, 0.466248095035553, -0.16178582608699799, 0.12428159266710281, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
4,4,4,0.0,dataset,0.0006488629987870809,True,"[0.29756832122802734, 0.20413929224014282, -0.18528810143470764, 0.1378665268421173, -1.1780972480773926, -0.08826381713151932, 0.26244255900382996, 0.28837642073631287, -0.4133838713169098, 0.2801072895526886, 0.2642521560192108, 0.45486128330230713, -0.11164504289627075, 0.10583269596099854]","[299.0, 298.0, 300.0, 207.0, 1000.0, 0.0]","[501.0, 501.0, 505.0, 656.0, 338.0, 0.0]","[0.25130826234817505, 0.28666701912879944, -0.14098431169986725, -0.06589779257774353, -1.1020902395248413, -0.2014167308807373, 0.13018003106117249, 0.27710941433906555, -0.42045536637306213, 0.29764172434806824, 0.24073772132396698, 0.4670392572879791, -0.16246454417705536, 0.12703220546245575, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.2775683104991913, 0.2241392880678177, -0.16528810560703278, 0.11786653101444244, -1.158097267150879, -0.10826382040977478, 0.2424425631761551, 0.27710941433906555, -0.42045536637306213, 0.29764172434806824, 0.24425216019153595, 0.4670392572879791, -0.13164503872394562, 0.1258326917886734]","[300.0, 300.0, 300.0, 200.0, 950.0, 0.0]","[551.0, 551.0, 555.0, 706.0, 388.0, 0.0]","[0.36868271231651306, 0.21251626312732697, -0.19572636485099792, 0.13893312215805054, -1.1988539695739746, -0.09076852351427078, 0.29062944650650024, 0.3481297492980957, -0.3999974727630615, 0.26222681999206543, 0.2602614164352417, 0.4354947507381439, -0.09526260942220688, 0.08536363393068314, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25130826234817505, 0.28666701912879944, -0.14098431169986725, -0.06589779257774353, -1.1020902395248413, -0.2014167308807373, 0.13018003106117249, 0.27710941433906555, -0.42045536637306213, 0.29764172434806824, 0.24073772132396698, 0.4670392572879791, -0.16246454417705536, 0.12703220546245575, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
5,5,5,0.0,dataset,0.0020216640004946385,True,"[0.2816532552242279, 0.2066200226545334, -0.1786608248949051, 0.13524198532104492, -1.1727522611618042, -0.09015733003616333, 0.2575170397758484, 0.2748701870441437, -0.41443848609924316, 0.28548821806907654, 0.2619391977787018, 0.45578405261039734, -0.11396998167037964, 0.11289139837026596]","[299.0, 298.0, 300.0, 207.0, 1000.0, 0.0]","[522.0, 521.0, 526.0, 682.0, 385.0, 0.0]","[0.2549981474876404, 0.2870613932609558, -0.14092257618904114, -0.06805554032325745, -1.1065564155578613, -0.2047654092311859, 0.12537433207035065, 0.2792743444442749, -0.4217317998409271, 0.2964577376842499, 0.2388928234577179, 0.4631003141403198, -0.16382800042629242, 0.13129085302352905, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.26165324449539185, 0.22662001848220825, -0.15866082906723022, 0.11524198949337006, -1.1527522802352905, -0.1101573258638382, 0.23751704394817352, 0.2792743444442749, -0.4217317998409271, 0.2964577376842499, 0.24193920195102692, 0.4631003141403198, -0.1339699774980545, 0.13129085302352905]","[300.0, 300.0, 300.0, 200.0, 950.0, 0.0]","[572.0, 571.0, 576.0, 732.0, 435.0, 0.0]","[0.3686227798461914, 0.21254023909568787, -0.19567842781543732, 0.13887320458889008, -1.19884192943573, -0.09079249203205109, 0.2885202169418335, 0.3476743698120117, -0.4002012312412262, 0.26253843307495117, 0.26020148396492004, 0.4355067312717438, -0.09521467238664627, 0.0860946774482727, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.2549981474876404, 0.2870613932609558, -0.14092257618904114, -0.06805554032325745, -1.1065564155578613, -0.2047654092311859, 0.12537433207035065, 0.2792743444442749, -0.4217317998409271, 0.2964577376842499, 0.2388928234577179, 0.4631003141403198, -0.16382800042629242, 0.13129085302352905, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
6,6,6,0.0,dataset,0.000702544999512611,True,"[0.26638534665107727, 0.2089090198278427, -0.17101489007472992, 0.13158679008483887, -1.1669518947601318, -0.09553824365139008, 0.25148895382881165, 0.2652828097343445, -0.4151814877986908, 0.289934366941452, 0.2595663368701935, 0.4559877812862396, -0.11500062793493271, 0.1215919479727745]","[299.0, 298.0, 299.0, 207.0, 1000.0, 0.0]","[547.0, 548.0, 552.0, 696.0, 387.0, 0.0]","[0.25489333271980286, 0.2874063551425934, -0.1409178376197815, -0.06747577339410782, -1.1075489521026611, -0.20959724485874176, 0.12356153130531311, 0.2808116674423218, -0.4227813482284546, 0.29641422629356384, 0.23240554332733154, 0.4568215310573578, -0.16366742551326752, 0.1350734531879425, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.25489333271980286, 0.22890901565551758, -0.15101489424705505, 0.111586794257164, -1.1469519138336182, -0.11553823947906494, 0.23148895800113678, 0.2808116674423218, -0.4227813482284546, 0.29641422629356384, 0.23956634104251862, 0.4568215310573578, -0.13500063121318817, 0.1350734531879425]","[300.0, 300.0, 300.0, 200.0, 950.0, 0.0]","[597.0, 598.0, 602.0, 746.0, 437.0, 0.0]","[0.3686707317829132, 0.21254023909568787, -0.19606192409992218, 0.13888518512248993, -1.1988539695739746, -0.09080447256565094, 0.28740569949150085, 0.34744665026664734, -0.4011719524860382, 0.26253843307495117, 0.2602134943008423, 0.4354468286037445, -0.09520268440246582, 0.0869215875864029, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25489333271980286, 0.2874063551425934, -0.1409178376197815, -0.06747577339410782, -1.1075489521026611, -0.20959724485874176, 0.12356153130531311, 0.2808116674423218, -0.4227813482284546, 0.29641422629356384, 0.23240554332733154, 0.4568215310573578, -0.16366742551326752, 0.1350734531879425, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
7,7,7,0.0,dataset,0.0006654940007138066,True,"[0.25066205859184265, 0.21672272682189941, -0.1634528487920761, 0.1329290270805359, -1.160120964050293, -0.09861818701028824, 0.24262064695358276, 0.25615084171295166, -0.4074157178401947, 0.291168749332428, 0.2598060071468353, 0.45438191294670105, -0.11622301489114761, 0.1248396709561348]","[299.0, 298.0, 299.0, 207.0, 1000.0, 0.0]","[547.0, 548.0, 552.0, 696.0, 387.0, 0.0]","[0.25315022468566895, 0.2873590886592865, -0.14541850984096527, -0.06472344696521759, -1.104962706565857, -0.21491335332393646, 0.12630820274353027, 0.27968114614486694, -0.4240519106388092, 0.2986530065536499, 0.23073317110538483, 0.45636704564094543, -0.16286036372184753, 0.1347084641456604, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.25315022468566895, 0.23672272264957428, -0.14541850984096527, 0.11292903125286102, -1.1401209831237793, -0.1186181902885437, 0.2226206511259079, 0.2761508524417877, -0.4240519106388092, 0.2986530065536499, 0.23980601131916046, 0.45636704564094543, -0.13622301816940308, 0.1347084641456604]","[300.0, 300.0, 300.0, 200.0, 950.0, 0.0]","[597.0, 598.0, 602.0, 746.0, 437.0, 0.0]","[0.3686946928501129, 0.21254023909568787, -0.19609788060188293, 0.13893312215805054, -1.1988779306411743, -0.09080447256565094, 0.2874176800251007, 0.34809380769729614, -0.4016273319721222, 0.262550413608551, 0.2602134943008423, 0.4351711869239807, -0.09515474736690521, 0.08778444677591324, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25315022468566895, 0.2873590886592865, -0.14541850984096527, -0.06472344696521759, -1.104962706565857, -0.21491335332393646, 0.12630820274353027, 0.27968114614486694, -0.4240519106388092, 0.2986530065536499, 0.23073317110538483, 0.45636704564094543, -0.16286036372184753, 0.1347084641456604, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
8,8,8,0.0,dataset,0.0006112430019129533,True,"[0.23667646944522858, 0.22150443494319916, -0.1586591601371765, 0.13243767619132996, -1.155734658241272, -0.1007753536105156, 0.23888155817985535, 0.25750505924224854, -0.40912947058677673, 0.29616615176200867, 0.25462883710861206, 0.4530276954174042, -0.11860787868499756, 0.12821923196315765]","[299.0, 298.0, 299.0, 207.0, 1000.0, 0.0]","[548.0, 548.0, 555.0, 705.0, 390.0, 0.0]","[0.25268545746803284, 0.28890952467918396, -0.14564628899097443, -0.06276678293943405, -1.1094121932983398, -0.21706220507621765, 0.12585130333900452, 0.2802010178565979, -0.427080899477005, 0.29866084456443787, 0.22760653495788574, 0.45402583479881287, -0.16312015056610107, 0.13579297065734863, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.25268545746803284, 0.24150443077087402, -0.14564628899097443, 0.11243768036365509, -1.1357346773147583, -0.12077535688877106, 0.21888156235218048, 0.2775050699710846, -0.427080899477005, 0.29866084456443787, 0.2346288412809372, 0.45402583479881287, -0.13860787451267242, 0.13579297065734863]","[300.0, 300.0, 300.0, 200.0, 950.0, 0.0]","[598.0, 598.0, 605.0, 755.0, 440.0, 0.0]","[0.3686946928501129, 0.21256420016288757, -0.19633756577968597, 0.13895709812641144, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3479020595550537, -0.40392830967903137, 0.263005793094635, 0.26020148396492004, 0.4349434971809387, -0.09499895572662354, 0.09199091047048569, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25268545746803284, 0.28890952467918396, -0.14564628899097443, -0.06276678293943405, -1.1094121932983398, -0.21706220507621765, 0.12585130333900452, 0.2802010178565979, -0.427080899477005, 0.29866084456443787, 0.22760653495788574, 0.45402583479881287, -0.16312015056610107, 0.13579297065734863, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
9,9,9,0.0,dataset,0.000990389999060426,True,"[0.23084014654159546, 0.2313314974308014, -0.15397332608699799, 0.1270567625761032, -1.1491672992706299, -0.10655174404382706, 0.23258984088897705, 0.2579724192619324, -0.40970471501350403, 0.3018706440925598, 0.2493797391653061, 0.4509783685207367, -0.11863184720277786, 0.13201822340488434]","[299.0, 298.0, 299.0, 207.0, 1000.0, 0.0]","[571.0, 574.0, 574.0, 727.0, 434.0, 0.0]","[0.252299964427948, 0.28918129205703735, -0.14630362391471863, -0.06224444508552551, -1.1108037233352661, -0.21874727308750153, 0.12717337906360626, 0.2800115942955017, -0.42830541729927063, 0.29901713132858276, 0.22527562081813812, 0.45009419322013855, -0.16269159317016602, 0.13778527081012726, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.2508401572704315, 0.25133150815963745, -0.14630362391471863, 0.10705676674842834, -1.1291673183441162, -0.12655174732208252, 0.21258984506130219, 0.27797242999076843, -0.42830541729927063, 0.29901713132858276, 0.22937974333763123, 0.45009419322013855, -0.13863185048103333, 0.13778527081012726]","[300.0, 300.0, 300.0, 200.0, 950.0, 0.0]","[621.0, 624.0, 624.0, 777.0, 484.0, 0.0]","[0.3686946928501129, 0.21257618069648743, -0.19662518799304962, 0.1389690786600113, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3477103114128113, -0.4057978391647339, 0.2632574737071991, 0.2601895034313202, 0.4349434971809387, -0.09499895572662354, 0.09417204558849335, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.252299964427948, 0.28918129205703735, -0.14630362391471863, -0.06224444508552551, -1.1108037233352661, -0.21874727308750153, 0.12717337906360626, 0.2800115942955017, -0.42830541729927063, 0.29901713132858276, 0.22527562081813812, 0.45009419322013855, -0.16269159317016602, 0.13778527081012726, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
