sample_index,wall_time_s,elapsed_s,tick,mode_machine,arm0,arm1,arm2,arm3,arm4,arm5,arm6,arm7,arm8,arm9,arm10,arm11,arm12,arm13
22,1782728466.641821384,0.689063887,3476093,5,-0.0124276,0.1834785,-0.2924630,0.8354563,0.0754287,-0.1925026,-0.0534017,0.3315436,-0.1812135,0.0454562,0.9984298,-0.1168821,-0.0263293,0.0464509
23,1782728466.676988602,0.721813961,3476128,5,-0.0386012,0.1789365,-0.3432522,0.8107448,0.0754047,-0.2142660,-0.0674832,0.3309084,-0.1810697,0.0449528,0.9981301,-0.1168941,-0.0329446,0.0464389
24,1782728466.704632521,0.756542499,3476156,5,-0.0541927,0.1730522,-0.3812542,0.7935115,0.0754287,-0.2291384,-0.0778016,0.3307526,-0.1811296,0.0445573,0.9981301,-0.1167623,-0.0382177,0.0463190
25,1782728466.744502068,0.784198714,3476196,5,-0.0711863,0.1620507,-0.4361899,0.7739892,0.0753328,-0.2502186,-0.0939084,0.3306448,-0.1811895,0.0441739,0.9983099,-0.1167503,-0.0457797,0.0463310
26,1782728466.777727842,0.823868370,3476229,5,-0.0844408,0.1521757,-0.4863918,0.7599677,0.0753928,-0.2647795,-0.1105305,0.3317114,-0.1808779,0.0442098,0.9987534,-0.1167264,-0.0500941,0.0465228
27,1782728466.810934305,0.856915509,3476262,5,-0.0962213,0.1413300,-0.5397096,0.7480194,0.0755246,-0.2794482,-0.1266133,0.3327900,-0.1800989,0.0442338,0.9996042,-0.1167623,-0.0519636,0.0466186
28,1782728466.883232594,0.890155711,3476334,5,-0.1100272,0.1112376,-0.6443678,0.7255370,0.0760040,-0.3047109,-0.1610201,0.3324664,-0.1799192,0.0442098,0.9998199,-0.1167623,-0.0541327,0.0465827
29,1782728466.892920971,0.962386411,3476344,5,-0.1114054,0.1069113,-0.6576823,0.7227686,0.0759201,-0.3060412,-0.1660774,0.3324544,-0.1798473,0.0441978,0.9998559,-0.1168342,-0.0542166,0.0466306
30,1782728466.939381361,0.972865435,3476391,5,-0.1205613,0.0876646,-0.7182386,0.7108923,0.0764474,-0.3118535,-0.1832268,0.3319271,-0.1794997,0.0441379,0.9999039,-0.1166544,-0.0549117,0.0465827
31,1782728466.969671249,1.019479314,3476421,5,-0.1297173,0.0741224,-0.7520221,0.7081479,0.0767709,-0.3145260,-0.1917836,0.3314477,-0.1795596,0.0441139,0.9998919,-0.1166425,-0.0554750,0.0465707
32,1782728467.004736662,1.049479444,3476456,5,-0.1410783,0.0577520,-0.7808322,0.7074648,0.0770586,-0.3164315,-0.1973203,0.3304890,-0.1795956,0.0440660,0.9998199,-0.1167743,-0.0561820,0.0464868
33,1782728467.040872097,1.084429460,3476492,5,-0.1496111,0.0395599,-0.7974303,0.7064940,0.0769867,-0.3167670,-0.1981352,0.3298418,-0.1797634,0.0439821,0.9996042,-0.1167743,-0.0572606,0.0464389
34,1782728467.074260473,1.120661822,3476525,5,-0.1557949,0.0305718,-0.8123627,0.6988001,0.0767709,-0.3169827,-0.1979914,0.3294583,-0.1797874,0.0438742,0.9995803,-0.1167863,-0.0582194,0.0463909
35,1782728467.108469009,1.153609374,3476560,5,-0.1613916,0.0282948,-0.8275707,0.6849584,0.0768309,-0.3175220,-0.1979674,0.3294943,-0.1796795,0.0438742,0.9995922,-0.1167264,-0.0598852,0.0464269
36,1782728467.137678623,1.187699715,3476589,5,-0.1634528,0.0284745,-0.8372779,0.6693549,0.0769267,-0.3177018,-0.1980633,0.3296860,-0.1799192,0.0437904,0.9996042,-0.1167264,-0.0612514,0.0464149
37,1782728467.175756454,1.217376762,3476627,5,-0.1636086,0.0284386,-0.8443606,0.6510790,0.0767350,-0.3178097,-0.1981831,0.3310642,-0.1801349,0.0435986,0.9997720,-0.1167983,-0.0625696,0.0463790
38,1782728467.208997726,1.255279641,3476660,5,-0.1636206,0.0288940,-0.8481596,0.6339415,0.0767350,-0.3178097,-0.1982191,0.3336049,-0.1801828,0.0436226,1.0005031,-0.1168222,-0.0658773,0.0464389
39,1782728467.242282867,1.288408959,3476694,5,-0.1641359,0.0300564,-0.8484831,0.6145750,0.0761598,-0.3177977,-0.1981592,0.3344198,-0.1804824,0.0436705,1.0009584,-0.1167863,-0.0699519,0.0464509
40,1782728467.275399208,1.322116695,3476727,5,-0.1643996,0.0325372,-0.8473327,0.5885693,0.0747696,-0.3176539,-0.1981592,0.3342041,-0.1816089,0.0436346,1.0010782,-0.1167743,-0.0763395,0.0464628
41,1782728467.307848692,1.354663530,3476759,5,-0.1644835,0.0339034,-0.8431022,0.5596154,0.0702635,-0.3174981,-0.1985067,0.3338805,-0.1829512,0.0435866,1.0011022,-0.1167383,-0.0828949,0.0464748
42,1782728467.336349249,1.387487110,3476788,5,-0.1647112,0.0342150,-0.8363191,0.5326269,0.0644751,-0.3175700,-0.1986745,0.3336408,-0.1841496,0.0435746,1.0011861,-0.1167264,-0.0874369,0.0464748
43,1782728467.374389172,1.416179198,3476826,5,-0.1671080,0.0340232,-0.8192656,0.4943253,0.0510049,-0.3175820,-0.1991898,0.3315676,-0.1858154,0.0436226,1.0012701,-0.1167863,-0.0920988,0.0465827
