policy_step,dataset_index,dataset_frame,inference_s,action_source,loop_s,sent_to_robot,arm_state,left_hand_state,right_hand_state,predicted_action,limited_arm,limited_left_hand,limited_right_hand,dataset_state,dataset_action
0,0,0,0.0,dataset,0.08088004799901682,True,"[0.19841083884239197, 0.2100115567445755, -0.2516687214374542, 1.0151238441467285, -1.1205490827560425, 0.02822284959256649, 0.22150443494319916, 0.2211449146270752, -0.16392023861408234, 0.22789202630519867, 1.0298044681549072, 0.2394208461046219, 0.025478463619947433, -0.07708253711462021]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 0.0, 0.0, 8.0, 0.0, 503.0]","[0.24442234635353088, 0.28508755564689636, -0.13917025923728943, -0.055223532021045685, -1.1037503480911255, -0.2001938819885254, 0.139725923538208, 0.2734237611293793, -0.4169085919857025, 0.2973143756389618, 0.24402667582035065, 0.47058749198913574, -0.16312283277511597, 0.12246698141098022, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.20841084420681, 0.22001156210899353, -0.2416687160730362, 1.0051238536834717, -1.1105490922927856, 0.018222849816083908, 0.21150442957878113, 0.23114491999149323, -0.17392024397850037, 0.2378920316696167, 1.0198044776916504, 0.24942085146903992, 0.015478463843464851, -0.06708253920078278]","[286.0, 0.2999999523162842, 0.30000001192092896, 0.20000004768371582, 0.10000038146972656, 885.0]","[0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.9000000953674316, 0.800000011920929, 453.0]","[0.36773595213890076, 0.2125042825937271, -0.19506722688674927, 0.13865748047828674, -1.1988658905029297, -0.09092431515455246, 0.2910129427909851, 0.34811776876449585, -0.39933836460113525, 0.2565223276615143, 0.258667528629303, 0.43556666374206543, -0.10707905143499374, 0.08358997106552124, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24442234635353088, 0.28508755564689636, -0.13917025923728943, -0.055223532021045685, -1.1037503480911255, -0.2001938819885254, 0.139725923538208, 0.2734237611293793, -0.4169085919857025, 0.2973143756389618, 0.24402667582035065, 0.47058749198913574, -0.16312283277511597, 0.12246698141098022, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
1,1,1,0.0,dataset,0.07204240500141168,True,"[0.19841083884239197, 0.20999957621097565, -0.2516927123069763, 1.0151357650756836, -1.1205610036849976, 0.028246818110346794, 0.2214924544095993, 0.2211449146270752, -0.16392023861408234, 0.22789202630519867, 1.029768466949463, 0.23936092853546143, 0.025478463619947433, -0.07708253711462021]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 0.0, 0.0, 8.0, 0.0, 503.0]","[0.24684642255306244, 0.28463566303253174, -0.1363241970539093, -0.06041140854358673, -1.1018574237823486, -0.1937672197818756, 0.13669143617153168, 0.27452579140663147, -0.41791626811027527, 0.29724210500717163, 0.24438706040382385, 0.4686964154243469, -0.16210435330867767, 0.12461793422698975, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.20841084420681, 0.21999958157539368, -0.2416927069425583, 1.0051357746124268, -1.1105610132217407, 0.018246818333864212, 0.21149244904518127, 0.23114491999149323, -0.17392024397850037, 0.2378920316696167, 1.019768476486206, 0.24936093389987946, 0.015478463843464851, -0.06708253920078278]","[286.0, 0.2999999523162842, 0.30000001192092896, 0.20000004768371582, 0.10000038146972656, 885.0]","[0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.9000000953674316, 0.800000011920929, 453.0]","[0.36773595213890076, 0.21249230206012726, -0.195235013961792, 0.1386454999446869, -1.1988658905029297, -0.09092431515455246, 0.2908931076526642, 0.3480578660964966, -0.39961397647857666, 0.2585356831550598, 0.25927871465682983, 0.43553072214126587, -0.10392720252275467, 0.08474045991897583, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24684642255306244, 0.28463566303253174, -0.1363241970539093, -0.06041140854358673, -1.1018574237823486, -0.1937672197818756, 0.13669143617153168, 0.27452579140663147, -0.41791626811027527, 0.29724210500717163, 0.24438706040382385, 0.4686964154243469, -0.16210435330867767, 0.12461793422698975, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
2,2,2,0.0,dataset,0.08291491199997836,True,"[0.20566128194332123, 0.21219269931316376, -0.2446339875459671, 1.0122116804122925, -1.1183439493179321, 0.024771394208073616, 0.21671074628829956, 0.2289106845855713, -0.166376993060112, 0.23304525017738342, 1.0274555683135986, 0.24440628290176392, 0.02082858420908451, -0.07076685130596161]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 0.0, 0.0, 8.0, 0.0, 503.0]","[0.24689100682735443, 0.2846303880214691, -0.1363029032945633, -0.0604422353208065, -1.1018520593643188, -0.19374361634254456, 0.13668397068977356, 0.2745389938354492, -0.4179222583770752, 0.29726067185401917, 0.2443813979625702, 0.4686882495880127, -0.1621003895998001, 0.12461652606725693, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.21566128730773926, 0.2221927046775818, -0.23463398218154907, 1.0022116899490356, -1.1083439588546753, 0.014771394431591034, 0.20671074092388153, 0.23891068994998932, -0.17637699842453003, 0.24304525554180145, 1.0174555778503418, 0.25440627336502075, 0.010828584432601929, -0.060766853392124176]","[286.0, 0.2999999523162842, 0.30000001192092896, 0.20000004768371582, 0.10000038146972656, 885.0]","[0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.9000000953674316, 0.800000011920929, 453.0]","[0.36775991320610046, 0.21252824366092682, -0.19531890749931335, 0.1387174129486084, -1.1988658905029297, -0.0908883661031723, 0.2907852530479431, 0.3480818271636963, -0.39984169602394104, 0.25965023040771484, 0.2595663368701935, 0.4355546832084656, -0.10284861922264099, 0.08504006266593933, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24689100682735443, 0.2846303880214691, -0.1363029032945633, -0.0604422353208065, -1.1018520593643188, -0.19374361634254456, 0.13668397068977356, 0.2745389938354492, -0.4179222583770752, 0.29726067185401917, 0.2443813979625702, 0.4686882495880127, -0.1621003895998001, 0.12461652606725693, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
3,3,3,0.0,dataset,0.06848207600160094,True,"[0.2091367095708847, 0.21424199640750885, -0.24411866068840027, 1.0120917558670044, -1.1179125308990479, 0.024280039593577385, 0.21603962779045105, 0.23187078535556793, -0.16770724952220917, 0.23427961766719818, 1.027275800704956, 0.24450215697288513, 0.020385166630148888, -0.07029946893453598]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 0.0, 0.0, 8.0, 0.0, 503.0]","[0.24807719886302948, 0.28516489267349243, -0.14065061509609222, -0.06366798281669617, -1.1009148359298706, -0.201852485537529, 0.13203182816505432, 0.276168555021286, -0.41826769709587097, 0.29840776324272156, 0.2408219873905182, 0.466248095035553, -0.16178582608699799, 0.12428159266710281, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.21913671493530273, 0.22424200177192688, -0.23411865532398224, 1.0020917654037476, -1.107912540435791, 0.014280039817094803, 0.20603962242603302, 0.24187079071998596, -0.1777072548866272, 0.2442796230316162, 1.0172758102416992, 0.25450214743614197, 0.010385166853666306, -0.06029947102069855]","[286.0, 0.2999999523162842, 0.30000001192092896, 0.20000004768371582, 0.10000038146972656, 885.0]","[0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.9000000953674316, 0.800000011920929, 453.0]","[0.3681793808937073, 0.2125042825937271, -0.19537882506847382, 0.13887320458889008, -1.1988539695739746, -0.09076852351427078, 0.2907373011112213, 0.348105788230896, -0.3998536765575409, 0.2610164284706116, 0.25985395908355713, 0.435518741607666, -0.0986781120300293, 0.08531569689512253, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24807719886302948, 0.28516489267349243, -0.14065061509609222, -0.06366798281669617, -1.1009148359298706, -0.201852485537529, 0.13203182816505432, 0.276168555021286, -0.41826769709587097, 0.29840776324272156, 0.2408219873905182, 0.466248095035553, -0.16178582608699799, 0.12428159266710281, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
4,4,4,0.0,dataset,0.0836608650006383,True,"[0.21496105194091797, 0.2146254926919937, -0.2404634803533554, 1.0114086866378784, -1.1159590482711792, 0.02383662387728691, 0.21444572508335114, 0.23726369440555573, -0.16975654661655426, 0.23756329715251923, 1.026365041732788, 0.24716265499591827, 0.01782054267823696, -0.06676411628723145]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 503.0]","[0.25130826234817505, 0.28666701912879944, -0.14098431169986725, -0.06589779257774353, -1.1020902395248413, -0.2014167308807373, 0.13018003106117249, 0.27710941433906555, -0.42045536637306213, 0.29764172434806824, 0.24073772132396698, 0.4670392572879791, -0.16246454417705536, 0.12703220546245575, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.224961057305336, 0.22462549805641174, -0.23046347498893738, 1.0014086961746216, -1.1059590578079224, 0.013836624100804329, 0.2044457197189331, 0.24726369976997375, -0.1797565519809723, 0.24756330251693726, 1.0163650512695312, 0.2571626603603363, 0.00782054290175438, -0.05676411837339401]","[286.0, 0.2999999523162842, 0.30000001192092896, 0.20000004768371582, 0.10000038146972656, 885.0]","[0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.9000000953674316, 0.800000011920929, 453.0]","[0.36868271231651306, 0.21251626312732697, -0.19572636485099792, 0.13893312215805054, -1.1988539695739746, -0.09076852351427078, 0.29062944650650024, 0.3481297492980957, -0.3999974727630615, 0.26222681999206543, 0.2602614164352417, 0.4354947507381439, -0.09526260942220688, 0.08536363393068314, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25130826234817505, 0.28666701912879944, -0.14098431169986725, -0.06589779257774353, -1.1020902395248413, -0.2014167308807373, 0.13018003106117249, 0.27710941433906555, -0.42045536637306213, 0.29764172434806824, 0.24073772132396698, 0.4670392572879791, -0.16246454417705536, 0.12703220546245575, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
5,5,5,0.0,dataset,0.07368863999909081,True,"[0.21856829524040222, 0.21518874168395996, -0.23611320555210114, 1.0113128423690796, -1.114616870880127, 0.023800671100616455, 0.21408620476722717, 0.24087093770503998, -0.17191371321678162, 0.2398642748594284, 1.026305079460144, 0.24782179296016693, 0.017473001033067703, -0.06491854786872864]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 0.0, 0.0, 8.0, 0.0, 503.0]","[0.2549981474876404, 0.2870613932609558, -0.14092257618904114, -0.06805554032325745, -1.1065564155578613, -0.2047654092311859, 0.12537433207035065, 0.2792743444442749, -0.4217317998409271, 0.2964577376842499, 0.2388928234577179, 0.4631003141403198, -0.16382800042629242, 0.13129085302352905, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.22856830060482025, 0.225188747048378, -0.2261132001876831, 1.0013128519058228, -1.1065564155578613, 0.013800671324133873, 0.20408619940280914, 0.250870943069458, -0.18191371858119965, 0.24986428022384644, 1.0163050889968872, 0.25782179832458496, 0.007473001256585121, -0.054918549954891205]","[286.0, 0.2999999523162842, 0.30000001192092896, 0.20000004768371582, 0.10000038146972656, 885.0]","[0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.9000000953674316, 0.800000011920929, 453.0]","[0.3686227798461914, 0.21254023909568787, -0.19567842781543732, 0.13887320458889008, -1.19884192943573, -0.09079249203205109, 0.2885202169418335, 0.3476743698120117, -0.4002012312412262, 0.26253843307495117, 0.26020148396492004, 0.4355067312717438, -0.09521467238664627, 0.0860946774482727, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.2549981474876404, 0.2870613932609558, -0.14092257618904114, -0.06805554032325745, -1.1065564155578613, -0.2047654092311859, 0.12537433207035065, 0.2792743444442749, -0.4217317998409271, 0.2964577376842499, 0.2388928234577179, 0.4631003141403198, -0.16382800042629242, 0.13129085302352905, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
6,6,6,0.0,dataset,0.07687578199875134,True,"[0.22300246357917786, 0.2168785184621811, -0.23362047970294952, 1.0099705457687378, -1.1135742664337158, 0.023441145196557045, 0.21134181320667267, 0.2455567717552185, -0.17341174185276031, 0.24206936359405518, 1.0261253118515015, 0.2502426207065582, 0.015267902985215187, -0.06197042763233185]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 503.0]","[0.25489333271980286, 0.2874063551425934, -0.1409178376197815, -0.06747577339410782, -1.1075489521026611, -0.20959724485874176, 0.12356153130531311, 0.2808116674423218, -0.4227813482284546, 0.29641422629356384, 0.23240554332733154, 0.4568215310573578, -0.16366742551326752, 0.1350734531879425, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.2330024689435959, 0.22687852382659912, -0.2236204743385315, 0.999970555305481, -1.1075489521026611, 0.013441145420074463, 0.20134180784225464, 0.25555676221847534, -0.18341174721717834, 0.252069354057312, 1.0161253213882446, 0.26024261116981506, 0.005267903208732605, -0.051970429718494415]","[286.0, 0.2999999523162842, 0.30000001192092896, 0.20000004768371582, 0.10000038146972656, 885.0]","[0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.9000000953674316, 0.800000011920929, 453.0]","[0.3686707317829132, 0.21254023909568787, -0.19606192409992218, 0.13888518512248993, -1.1988539695739746, -0.09080447256565094, 0.28740569949150085, 0.34744665026664734, -0.4011719524860382, 0.26253843307495117, 0.2602134943008423, 0.4354468286037445, -0.09520268440246582, 0.0869215875864029, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25489333271980286, 0.2874063551425934, -0.1409178376197815, -0.06747577339410782, -1.1075489521026611, -0.20959724485874176, 0.12356153130531311, 0.2808116674423218, -0.4227813482284546, 0.29641422629356384, 0.23240554332733154, 0.4568215310573578, -0.16366742551326752, 0.1350734531879425, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
7,7,7,0.0,dataset,0.06545547100176918,True,"[0.22714900970458984, 0.21891583502292633, -0.22971363365650177, 1.009131669998169, -1.113418459892273, 0.02340519241988659, 0.20430707931518555, 0.2505062520503998, -0.17525731027126312, 0.24540098011493683, 1.0259336233139038, 0.2512732446193695, 0.014093449339270592, -0.06115550175309181]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 503.0]","[0.25315022468566895, 0.2873590886592865, -0.14541850984096527, -0.06472344696521759, -1.104962706565857, -0.21491335332393646, 0.12630820274353027, 0.27968114614486694, -0.4240519106388092, 0.2986530065536499, 0.23073317110538483, 0.45636704564094543, -0.16286036372184753, 0.1347084641456604, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.23714901506900787, 0.22891584038734436, -0.21971362829208374, 0.9991316795349121, -1.104962706565857, 0.013405192643404007, 0.19430707395076752, 0.2605062425136566, -0.18525731563568115, 0.25540098547935486, 1.015933632850647, 0.26127323508262634, 0.00409344956278801, -0.05115550011396408]","[286.0, 0.2999999523162842, 0.30000001192092896, 0.20000004768371582, 0.10000038146972656, 885.0]","[0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.9000000953674316, 0.800000011920929, 453.0]","[0.3686946928501129, 0.21254023909568787, -0.19609788060188293, 0.13893312215805054, -1.1988779306411743, -0.09080447256565094, 0.2874176800251007, 0.34809380769729614, -0.4016273319721222, 0.262550413608551, 0.2602134943008423, 0.4351711869239807, -0.09515474736690521, 0.08778444677591324, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25315022468566895, 0.2873590886592865, -0.14541850984096527, -0.06472344696521759, -1.104962706565857, -0.21491335332393646, 0.12630820274353027, 0.27968114614486694, -0.4240519106388092, 0.2986530065536499, 0.23073317110538483, 0.45636704564094543, -0.16286036372184753, 0.1347084641456604, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
8,8,8,0.0,dataset,0.07696278000003076,True,"[0.23130753636360168, 0.22098910808563232, -0.226262167096138, 1.0078493356704712, -1.1134543418884277, 0.023333286866545677, 0.20063990354537964, 0.25623470544815063, -0.17616811394691467, 0.2474023401737213, 1.0258017778396606, 0.2543891370296478, 0.012871057726442814, -0.05940580368041992]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 503.0]","[0.25268545746803284, 0.28890952467918396, -0.14564628899097443, -0.06276678293943405, -1.1094121932983398, -0.21706220507621765, 0.12585130333900452, 0.2802010178565979, -0.427080899477005, 0.29866084456443787, 0.22760653495788574, 0.45402583479881287, -0.16312015056610107, 0.13579297065734863, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.24130754172801971, 0.23098911345005035, -0.21626216173171997, 0.9978493452072144, -1.1094121932983398, 0.013333287090063095, 0.1906398981809616, 0.26623469591140747, -0.1861681193113327, 0.25740233063697815, 1.0158017873764038, 0.26438912749290466, 0.0028710579499602318, -0.04940580576658249]","[286.0, 0.2999999523162842, 0.30000001192092896, 0.20000004768371582, 0.10000038146972656, 885.0]","[0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.9000000953674316, 0.800000011920929, 453.0]","[0.3686946928501129, 0.21256420016288757, -0.19633756577968597, 0.13895709812641144, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3479020595550537, -0.40392830967903137, 0.263005793094635, 0.26020148396492004, 0.4349434971809387, -0.09499895572662354, 0.09199091047048569, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25268545746803284, 0.28890952467918396, -0.14564628899097443, -0.06276678293943405, -1.1094121932983398, -0.21706220507621765, 0.12585130333900452, 0.2802010178565979, -0.427080899477005, 0.29866084456443787, 0.22760653495788574, 0.45402583479881287, -0.16312015056610107, 0.13579297065734863, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
9,9,9,0.0,dataset,0.07071435600119003,True,"[0.2359454333782196, 0.22445255517959595, -0.22342191636562347, 1.0066030025482178, -1.1126154661178589, 0.023333286866545677, 0.19723637402057648, 0.26077672839164734, -0.17807359993457794, 0.24976323544979095, 1.0258136987686157, 0.25538384914398193, 0.012355736456811428, -0.05850698798894882]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 503.0]","[0.252299964427948, 0.28918129205703735, -0.14630362391471863, -0.06224444508552551, -1.1108037233352661, -0.21874727308750153, 0.12717337906360626, 0.2800115942955017, -0.42830541729927063, 0.29901713132858276, 0.22527562081813812, 0.45009419322013855, -0.16269159317016602, 0.13778527081012726, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.24594543874263763, 0.23445256054401398, -0.21342191100120544, 0.9966030120849609, -1.1108037233352661, 0.013333287090063095, 0.18723636865615845, 0.2707767188549042, -0.18807360529899597, 0.259763240814209, 1.0158137083053589, 0.26538383960723877, 0.002355736680328846, -0.04850699007511139]","[286.0, 0.2999999523162842, 0.30000001192092896, 0.20000004768371582, 0.10000038146972656, 885.0]","[0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.9000000953674316, 0.800000011920929, 453.0]","[0.3686946928501129, 0.21257618069648743, -0.19662518799304962, 0.1389690786600113, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3477103114128113, -0.4057978391647339, 0.2632574737071991, 0.2601895034313202, 0.4349434971809387, -0.09499895572662354, 0.09417204558849335, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.252299964427948, 0.28918129205703735, -0.14630362391471863, -0.06224444508552551, -1.1108037233352661, -0.21874727308750153, 0.12717337906360626, 0.2800115942955017, -0.42830541729927063, 0.29901713132858276, 0.22527562081813812, 0.45009419322013855, -0.16269159317016602, 0.13778527081012726, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
