policy_step,dataset_index,dataset_frame,inference_s,action_source,loop_s,sent_to_robot,arm_state,left_hand_state,right_hand_state,predicted_action,limited_arm,limited_left_hand,limited_right_hand,dataset_state,dataset_action
0,0,0,0.0,dataset,0.08965857600014715,True,"[0.1694929003715515, 0.311002641916275, -0.565379798412323, 1.0152076482772827, -1.2409425973892212, -0.08426108956336975, 0.15502794086933136, 0.10306433588266373, -0.2284073531627655, 0.8424670696258545, 1.1377344131469727, 0.2522679269313812, 0.28221651911735535, -0.2212168127298355]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 504.0]","[0.24442234635353088, 0.28508755564689636, -0.13917025923728943, -0.055223532021045685, -1.1037503480911255, -0.2001938819885254, 0.139725923538208, 0.2734237611293793, -0.4169085919857025, 0.2973143756389618, 0.24402667582035065, 0.47058749198913574, -0.16312283277511597, 0.12246698141098022, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.18949289619922638, 0.29100263118743896, -0.5453798174858093, 0.995207667350769, -1.2209426164627075, -0.10426108539104462, 0.139725923538208, 0.12306433916091919, -0.24840734899044037, 0.8224670886993408, 1.117734432220459, 0.2722679376602173, 0.2622165083885193, -0.20121681690216064]","[300.0, 52.0, 51.0, 54.0, 60.0, 885.0]","[52.0, 51.0, 50.0, 58.0, 50.0, 454.0]","[0.36773595213890076, 0.2125042825937271, -0.19506722688674927, 0.13865748047828674, -1.1988658905029297, -0.09092431515455246, 0.2910129427909851, 0.34811776876449585, -0.39933836460113525, 0.2565223276615143, 0.258667528629303, 0.43556666374206543, -0.10707905143499374, 0.08358997106552124, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24442234635353088, 0.28508755564689636, -0.13917025923728943, -0.055223532021045685, -1.1037503480911255, -0.2001938819885254, 0.139725923538208, 0.2734237611293793, -0.4169085919857025, 0.2973143756389618, 0.24402667582035065, 0.47058749198913574, -0.16312283277511597, 0.12246698141098022, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
1,1,1,0.0,dataset,0.06201012800011085,True,"[0.16956479847431183, 0.311002641916275, -0.5653678178787231, 1.015243649482727, -1.2409545183181763, -0.0842730700969696, 0.15502794086933136, 0.10306433588266373, -0.22839535772800446, 0.8424191474914551, 1.1377583742141724, 0.25227993726730347, 0.2822284996509552, -0.2212168127298355]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 504.0]","[0.24684642255306244, 0.28463566303253174, -0.1363241970539093, -0.06041140854358673, -1.1018574237823486, -0.1937672197818756, 0.13669143617153168, 0.27452579140663147, -0.41791626811027527, 0.29724210500717163, 0.24438706040382385, 0.4686964154243469, -0.16210435330867767, 0.12461793422698975, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.1895647943019867, 0.29100263118743896, -0.5453678369522095, 0.9952436685562134, -1.2209545373916626, -0.10427306592464447, 0.13669143617153168, 0.12306433916091919, -0.24839535355567932, 0.8224191665649414, 1.1177583932876587, 0.2722799479961395, 0.26222848892211914, -0.20121681690216064]","[300.0, 52.0, 51.0, 54.0, 60.0, 885.0]","[52.0, 51.0, 50.0, 58.0, 50.0, 454.0]","[0.36773595213890076, 0.21249230206012726, -0.195235013961792, 0.1386454999446869, -1.1988658905029297, -0.09092431515455246, 0.2908931076526642, 0.3480578660964966, -0.39961397647857666, 0.2585356831550598, 0.25927871465682983, 0.43553072214126587, -0.10392720252275467, 0.08474045991897583, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24684642255306244, 0.28463566303253174, -0.1363241970539093, -0.06041140854358673, -1.1018574237823486, -0.1937672197818756, 0.13669143617153168, 0.27452579140663147, -0.41791626811027527, 0.29724210500717163, 0.24438706040382385, 0.4686964154243469, -0.16210435330867767, 0.12461793422698975, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
2,2,2,0.0,dataset,0.09039172700067866,True,"[0.16966067254543304, 0.311002641916275, -0.5653678178787231, 1.0152676105499268, -1.2409305572509766, -0.08426108956336975, 0.1550159603357315, 0.10302838683128357, -0.22841933369636536, 0.8424550890922546, 1.137782335281372, 0.25227993726730347, 0.2822045385837555, -0.2212168127298355]","[336.0, 2.0, 1.0, 4.0, 10.0, 935.0]","[2.0, 1.0, 0.0, 8.0, 0.0, 504.0]","[0.24689100682735443, 0.2846303880214691, -0.1363029032945633, -0.0604422353208065, -1.1018520593643188, -0.19374361634254456, 0.13668397068977356, 0.2745389938354492, -0.4179222583770752, 0.29726067185401917, 0.2443813979625702, 0.4686882495880127, -0.1621003895998001, 0.12461652606725693, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.1896606683731079, 0.29100263118743896, -0.5453678369522095, 0.9952676296234131, -1.220930576324463, -0.10426108539104462, 0.13668397068977356, 0.12302838265895844, -0.24841932952404022, 0.822455108165741, 1.1177823543548584, 0.2722799479961395, 0.26220452785491943, -0.20121681690216064]","[300.0, 52.0, 51.0, 54.0, 60.0, 885.0]","[52.0, 51.0, 50.0, 58.0, 50.0, 454.0]","[0.36775991320610046, 0.21252824366092682, -0.19531890749931335, 0.1387174129486084, -1.1988658905029297, -0.0908883661031723, 0.2907852530479431, 0.3480818271636963, -0.39984169602394104, 0.25965023040771484, 0.2595663368701935, 0.4355546832084656, -0.10284861922264099, 0.08504006266593933, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24689100682735443, 0.2846303880214691, -0.1363029032945633, -0.0604422353208065, -1.1018520593643188, -0.19374361634254456, 0.13668397068977356, 0.2745389938354492, -0.4179222583770752, 0.29726067185401917, 0.2443813979625702, 0.4686882495880127, -0.1621003895998001, 0.12461652606725693, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
3,3,3,0.0,dataset,0.07144113700087473,True,"[0.16987639665603638, 0.3109906315803528, -0.5653678178787231, 1.0156031847000122, -1.2409425973892212, -0.0842491015791893, 0.15509983897209167, 0.10307632386684418, -0.22822758555412292, 0.8424550890922546, 1.1381418704986572, 0.2522679269313812, 0.28254008293151855, -0.22130070626735687]","[312.0, 44.0, 8.0, 20.0, 57.0, 907.0]","[3.0, 26.0, 0.0, 26.0, 11.0, 504.0]","[0.24807719886302948, 0.28516489267349243, -0.14065061509609222, -0.06366798281669617, -1.1009148359298706, -0.201852485537529, 0.13203182816505432, 0.276168555021286, -0.41826769709587097, 0.29840776324272156, 0.2408219873905182, 0.466248095035553, -0.16178582608699799, 0.12428159266710281, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.18987639248371124, 0.2909906208515167, -0.5453678369522095, 0.9956032037734985, -1.2209426164627075, -0.10424910485744476, 0.1350998431444168, 0.12307631969451904, -0.2482275813817978, 0.822455108165741, 1.1181418895721436, 0.2722679376602173, 0.2625400722026825, -0.201300710439682]","[300.0, 94.0, 58.0, 70.0, 100.0, 857.0]","[53.0, 76.0, 50.0, 76.0, 61.0, 454.0]","[0.3681793808937073, 0.2125042825937271, -0.19537882506847382, 0.13887320458889008, -1.1988539695739746, -0.09076852351427078, 0.2907373011112213, 0.348105788230896, -0.3998536765575409, 0.2610164284706116, 0.25985395908355713, 0.435518741607666, -0.0986781120300293, 0.08531569689512253, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24807719886302948, 0.28516489267349243, -0.14065061509609222, -0.06366798281669617, -1.1009148359298706, -0.201852485537529, 0.13203182816505432, 0.276168555021286, -0.41826769709587097, 0.29840776324272156, 0.2408219873905182, 0.466248095035553, -0.16178582608699799, 0.12428159266710281, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
4,4,4,0.0,dataset,0.09013644800143084,True,"[0.16992433369159698, 0.311002641916275, -0.5654157400131226, 1.0156151056289673, -1.2409186363220215, -0.08426108956336975, 0.15509983897209167, 0.10310029238462448, -0.22809575498104095, 0.8424191474914551, 1.1381897926330566, 0.2522679269313812, 0.28244420886039734, -0.22127673029899597]","[296.0, 54.0, 49.0, 44.0, 60.0, 876.0]","[7.0, 48.0, 0.0, 26.0, 46.0, 504.0]","[0.25130826234817505, 0.28666701912879944, -0.14098431169986725, -0.06589779257774353, -1.1020902395248413, -0.2014167308807373, 0.13018003106117249, 0.27710941433906555, -0.42045536637306213, 0.29764172434806824, 0.24073772132396698, 0.4670392572879791, -0.16246454417705536, 0.12703220546245575, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.18992432951927185, 0.29100263118743896, -0.5454157590866089, 0.9956151247024536, -1.2209186553955078, -0.10426108539104462, 0.1350998431444168, 0.12310029566287994, -0.24809575080871582, 0.8224191665649414, 1.118189811706543, 0.2722679376602173, 0.2624441981315613, -0.2012767344713211]","[300.0, 104.0, 99.0, 94.0, 100.0, 826.0]","[57.0, 98.0, 50.0, 76.0, 96.0, 454.0]","[0.36868271231651306, 0.21251626312732697, -0.19572636485099792, 0.13893312215805054, -1.1988539695739746, -0.09076852351427078, 0.29062944650650024, 0.3481297492980957, -0.3999974727630615, 0.26222681999206543, 0.2602614164352417, 0.4354947507381439, -0.09526260942220688, 0.08536363393068314, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25130826234817505, 0.28666701912879944, -0.14098431169986725, -0.06589779257774353, -1.1020902395248413, -0.2014167308807373, 0.13018003106117249, 0.27710941433906555, -0.42045536637306213, 0.29764172434806824, 0.24073772132396698, 0.4670392572879791, -0.16246454417705536, 0.12703220546245575, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
5,5,5,0.0,dataset,0.06174679400101013,True,"[0.1700441688299179, 0.3109906315803528, -0.565463662147522, 1.015639066696167, -1.2409545183181763, -0.0842491015791893, 0.15508785843849182, 0.10308830440044403, -0.2280598133802414, 0.8424670696258545, 1.1382856369018555, 0.2522679269313812, 0.2824801802635193, -0.22128872573375702]","[300.0, 53.0, 52.0, 54.0, 63.0, 873.0]","[29.0, 52.0, 50.0, 73.0, 57.0, 483.0]","[0.2549981474876404, 0.2870613932609558, -0.14092257618904114, -0.06805554032325745, -1.1065564155578613, -0.2047654092311859, 0.12537433207035065, 0.2792743444442749, -0.4217317998409271, 0.2964577376842499, 0.2388928234577179, 0.4631003141403198, -0.16382800042629242, 0.13129085302352905, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.19004416465759277, 0.2909906208515167, -0.5454636812210083, 0.9956390857696533, -1.2209545373916626, -0.10424910485744476, 0.13508786261081696, 0.1230883002281189, -0.24805980920791626, 0.8224670886993408, 1.1182856559753418, 0.2722679376602173, 0.2624801695346832, -0.20128872990608215]","[300.0, 103.0, 102.0, 104.0, 100.0, 823.0]","[79.0, 102.0, 100.0, 123.0, 107.0, 433.0]","[0.3686227798461914, 0.21254023909568787, -0.19567842781543732, 0.13887320458889008, -1.19884192943573, -0.09079249203205109, 0.2885202169418335, 0.3476743698120117, -0.4002012312412262, 0.26253843307495117, 0.26020148396492004, 0.4355067312717438, -0.09521467238664627, 0.0860946774482727, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.2549981474876404, 0.2870613932609558, -0.14092257618904114, -0.06805554032325745, -1.1065564155578613, -0.2047654092311859, 0.12537433207035065, 0.2792743444442749, -0.4217317998409271, 0.2964577376842499, 0.2388928234577179, 0.4631003141403198, -0.16382800042629242, 0.13129085302352905, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
6,6,6,0.0,dataset,0.08154560300135927,True,"[0.17009210586547852, 0.31097865104675293, -0.5654397010803223, 1.015639066696167, -1.2409425973892212, -0.08426108956336975, 0.15506389737129211, 0.10308830440044403, -0.2280598133802414, 0.8424550890922546, 1.1382856369018555, 0.25225594639778137, 0.28246819972991943, -0.22128872573375702]","[300.0, 62.0, 56.0, 64.0, 89.0, 859.0]","[47.0, 72.0, 50.0, 73.0, 67.0, 453.0]","[0.25489333271980286, 0.2874063551425934, -0.1409178376197815, -0.06747577339410782, -1.1075489521026611, -0.20959724485874176, 0.12356153130531311, 0.2808116674423218, -0.4227813482284546, 0.29641422629356384, 0.23240554332733154, 0.4568215310573578, -0.16366742551326752, 0.1350734531879425, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.19009210169315338, 0.29097864031791687, -0.5454397201538086, 0.9956390857696533, -1.2209426164627075, -0.10426108539104462, 0.13506390154361725, 0.1230883002281189, -0.24805980920791626, 0.822455108165741, 1.1182856559753418, 0.27225595712661743, 0.2624681890010834, -0.20128872990608215]","[300.0, 112.0, 106.0, 114.0, 100.0, 809.0]","[97.0, 122.0, 100.0, 123.0, 117.0, 403.0]","[0.3686707317829132, 0.21254023909568787, -0.19606192409992218, 0.13888518512248993, -1.1988539695739746, -0.09080447256565094, 0.28740569949150085, 0.34744665026664734, -0.4011719524860382, 0.26253843307495117, 0.2602134943008423, 0.4354468286037445, -0.09520268440246582, 0.0869215875864029, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25489333271980286, 0.2874063551425934, -0.1409178376197815, -0.06747577339410782, -1.1075489521026611, -0.20959724485874176, 0.12356153130531311, 0.2808116674423218, -0.4227813482284546, 0.29641422629356384, 0.23240554332733154, 0.4568215310573578, -0.16366742551326752, 0.1350734531879425, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
7,7,7,0.0,dataset,0.06702116899941757,True,"[0.17010408639907837, 0.31097865104675293, -0.5654397010803223, 1.015639066696167, -1.2409305572509766, -0.08426108956336975, 0.15506389737129211, 0.10308830440044403, -0.22807179391384125, 0.8424431085586548, 1.1382976770401, 0.2522679269313812, 0.2824562191963196, -0.22128872573375702]","[296.0, 102.0, 82.0, 90.0, 102.0, 820.0]","[98.0, 78.0, 50.0, 73.0, 92.0, 432.0]","[0.25315022468566895, 0.2873590886592865, -0.14541850984096527, -0.06472344696521759, -1.104962706565857, -0.21491335332393646, 0.12630820274353027, 0.27968114614486694, -0.4240519106388092, 0.2986530065536499, 0.23073317110538483, 0.45636704564094543, -0.16286036372184753, 0.1347084641456604, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.19010408222675323, 0.29097864031791687, -0.5454397201538086, 0.9956390857696533, -1.220930576324463, -0.10426108539104462, 0.13506390154361725, 0.1230883002281189, -0.2480717897415161, 0.8224431276321411, 1.1182976961135864, 0.2722679376602173, 0.2624562084674835, -0.20128872990608215]","[300.0, 152.0, 132.0, 140.0, 100.0, 770.0]","[148.0, 128.0, 100.0, 123.0, 142.0, 382.0]","[0.3686946928501129, 0.21254023909568787, -0.19609788060188293, 0.13893312215805054, -1.1988779306411743, -0.09080447256565094, 0.2874176800251007, 0.34809380769729614, -0.4016273319721222, 0.262550413608551, 0.2602134943008423, 0.4351711869239807, -0.09515474736690521, 0.08778444677591324, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25315022468566895, 0.2873590886592865, -0.14541850984096527, -0.06472344696521759, -1.104962706565857, -0.21491335332393646, 0.12630820274353027, 0.27968114614486694, -0.4240519106388092, 0.2986530065536499, 0.23073317110538483, 0.45636704564094543, -0.16286036372184753, 0.1347084641456604, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
8,8,8,0.0,dataset,0.0796700859991688,True,"[0.17011608183383942, 0.3109906315803528, -0.5654277205467224, 1.0156511068344116, -1.240978479385376, -0.08426108956336975, 0.15506389737129211, 0.10308830440044403, -0.22807179391384125, 0.8424670696258545, 1.1382856369018555, 0.25225594639778137, 0.2824562191963196, -0.22128872573375702]","[299.0, 102.0, 97.0, 90.0, 102.0, 810.0]","[110.0, 103.0, 50.0, 91.0, 92.0, 421.0]","[0.25268545746803284, 0.28890952467918396, -0.14564628899097443, -0.06276678293943405, -1.1094121932983398, -0.21706220507621765, 0.12585130333900452, 0.2802010178565979, -0.427080899477005, 0.29866084456443787, 0.22760653495788574, 0.45402583479881287, -0.16312015056610107, 0.13579297065734863, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.19011607766151428, 0.2909906208515167, -0.5454277396202087, 0.995651125907898, -1.2209784984588623, -0.10426108539104462, 0.13506390154361725, 0.1230883002281189, -0.2480717897415161, 0.8224670886993408, 1.1182856559753418, 0.27225595712661743, 0.2624562084674835, -0.20128872990608215]","[300.0, 152.0, 147.0, 140.0, 100.0, 760.0]","[160.0, 153.0, 100.0, 141.0, 142.0, 371.0]","[0.3686946928501129, 0.21256420016288757, -0.19633756577968597, 0.13895709812641144, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3479020595550537, -0.40392830967903137, 0.263005793094635, 0.26020148396492004, 0.4349434971809387, -0.09499895572662354, 0.09199091047048569, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25268545746803284, 0.28890952467918396, -0.14564628899097443, -0.06276678293943405, -1.1094121932983398, -0.21706220507621765, 0.12585130333900452, 0.2802010178565979, -0.427080899477005, 0.29866084456443787, 0.22760653495788574, 0.45402583479881287, -0.16312015056610107, 0.13579297065734863, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
9,9,9,0.0,dataset,0.07326610800009803,True,"[0.17011608183383942, 0.3109666705131531, -0.5654397010803223, 1.0156511068344116, -1.2409305572509766, -0.08423712104558945, 0.15507587790489197, 0.10310029238462448, -0.22807179391384125, 0.8424431085586548, 1.1382856369018555, 0.2522679269313812, 0.2824801802635193, -0.22127673029899597]","[298.0, 111.0, 100.0, 99.0, 102.0, 796.0]","[95.0, 121.0, 88.0, 135.0, 129.0, 407.0]","[0.252299964427948, 0.28918129205703735, -0.14630362391471863, -0.06224444508552551, -1.1108037233352661, -0.21874727308750153, 0.12717337906360626, 0.2800115942955017, -0.42830541729927063, 0.29901713132858276, 0.22527562081813812, 0.45009419322013855, -0.16269159317016602, 0.13778527081012726, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.19011607766151428, 0.290966659784317, -0.5454397201538086, 0.995651125907898, -1.220930576324463, -0.10423712432384491, 0.1350758820772171, 0.12310029566287994, -0.2480717897415161, 0.8224431276321411, 1.1182856559753418, 0.2722679376602173, 0.2624801695346832, -0.2012767344713211]","[300.0, 161.0, 150.0, 149.0, 100.0, 746.0]","[145.0, 171.0, 138.0, 185.0, 179.0, 357.0]","[0.3686946928501129, 0.21257618069648743, -0.19662518799304962, 0.1389690786600113, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3477103114128113, -0.4057978391647339, 0.2632574737071991, 0.2601895034313202, 0.4349434971809387, -0.09499895572662354, 0.09417204558849335, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.252299964427948, 0.28918129205703735, -0.14630362391471863, -0.06224444508552551, -1.1108037233352661, -0.21874727308750153, 0.12717337906360626, 0.2800115942955017, -0.42830541729927063, 0.29901713132858276, 0.22527562081813812, 0.45009419322013855, -0.16269159317016602, 0.13778527081012726, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
